,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2019-05-14 00:00:00+05:30,736.65,748.25,736.65,740.1,3516,-0.011024253357386216,-0.10642921823121032,0.06788831974605025,-0.1393185254099314,-0.33712494402149573,-0.011822726658559657,-22.847545416179514,-7.537007733747146,-14.565394245005564,0.016331230303941457,0.02172293423283889,1.0,0.51904595,-0.01189317087032339,-1,2019-05-15 00:00:00+05:30
2019-05-15 00:00:00+05:30,740.1,744.95,725.0,731.35,3397,-0.011822726658559657,-0.12386942198262951,0.03951389382417747,-0.15445979536389387,-0.36443034674545927,-0.030833390305599284,-26.301538595427132,-11.375752137540417,-16.712826056529252,0.01628329165353619,0.019590110791643453,1.0,0.5198382,-0.03131874204222618,-1,2019-05-16 00:00:00+05:30
2019-05-16 00:00:00+05:30,729.45,735.0,701.0,708.8,5818,-0.030833390305599284,-0.1522545150101663,0.01824450509984188,-0.1831748775569001,-0.3987615573840021,0.03449492099322815,-31.51259080643672,-16.302537006837042,-19.569350699050574,0.017167323561152154,0.020008888744203694,1.0,0.55758035,0.03391330856668938,1,2019-05-17 00:00:00+05:30
2019-05-17 00:00:00+05:30,715.0,740.0,708.0,733.25,12623,0.03449492099322815,-0.11635333815377191,0.04809891366495145,-0.15285078851597245,-0.3798629905277402,0.012615069894306163,-31.203830996422425,-18.51547000182711,-21.195276244014508,0.019594097575959563,0.020449141103077658,1.0,0.5746454,0.11904753114358928,1,2019-05-27 00:00:00+05:30
2019-05-23 00:00:00+05:30,744.75,744.75,707.0,715.25,9875,-0.02620830496936688,-0.13643223664352555,0.12824355233062534,-0.17278667668999015,-0.3991767818892016,0.033414889898636835,-28.00180149233597,-23.988501477240447,-26.303681392730255,0.020003080053061676,0.02018622030460067,1.0,0.54512835,0.14390210707092999,1,2019-05-27 00:00:00+05:30
2019-05-24 00:00:00+05:30,716.0,740.0,716.0,739.15,8599,0.033414889898636835,-0.11213213213213213,0.16991136435580878,-0.17913265589427518,-0.3575122778043375,0.11743218561861601,-25.33418965914848,-24.067397704338987,-27.00824383963186,0.021977170404937078,0.020492880889358932,1.0,0.5706903,0.1110333616540508,1,2019-05-27 00:00:00+05:30
2019-05-27 00:00:00+05:30,802.25,873.7,802.25,825.95,184337,0.11743218561861601,0.0006057302077655535,0.2992763882334435,-0.08719677294579209,-0.27722598993655656,0.014165506386585092,-10.630090709016258,-17.34969332173057,-24.151793802383054,0.0351067053418187,0.02534128178454192,1.0,0.8609722,0.0027204321103172714,1,2019-06-11 00:00:00+05:30
2019-06-07 00:00:00+05:30,833.2,833.2,819.55,822.0,3934,-0.005504809146452017,0.0788817430108939,0.19018316079055975,-0.11436728976997246,-0.26623521535371564,-0.01186131386861311,22.20946809180498,13.383209338268784,-5.134610353154585,0.03211409124806914,0.024630202976058675,1.0,0.52640367,-0.0017046150480941253,-1,2019-06-21 00:00:00+05:30
2019-06-18 00:00:00+05:30,802.0,816.95,800.5,800.75,20797,-0.007990584737363804,0.09205591544493696,0.014056860634458435,-0.0877762588288904,-0.21533561979421856,0.007243209491102132,6.852548433527318,11.510697039068873,-0.8613889874877714,0.030030867855968472,0.02227964027779451,1.0,0.5262576,0.03352475054623228,1,2019-07-02 00:00:00+05:30
2019-06-21 00:00:00+05:30,817.65,825.0,807.7,820.6,5534,0.003607900691004806,0.11722260040844112,0.02574999999999994,-0.0727683615819209,-0.2181038589804669,-0.002010723860589758,6.383964824141344,11.136648714214061,0.5403811543142183,0.028903265889774807,0.022322417364343893,1.0,0.5249792,0.008554579698088783,1,2019-07-05 00:00:00+05:30
