,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-13 00:00:00+05:30,40.0,40.3,38.95,39.1,1336656,-0.020050125313283096,-0.06459330143540665,-0.15641855447680686,-0.3048888888888889,-0.3406408094435075,0.010230179028132946,-1.0381822353373522,-2.408090480550314,-4.020401818750045,0.016963561980138715,0.022996135805475243,0.0,0.5327442,0.037645599616366966,1,2012-04-19 00:00:00+05:30
2012-04-19 00:00:00+05:30,39.65,41.0,39.5,40.6,1332933,0.02784810126582271,0.01754385964912286,-0.06559263521288838,-0.30657557643040134,-0.34357316087308,-0.0049261083743843415,-0.6637986102224147,-2.1018872662123087,-3.9210448008397947,0.017559840168007965,0.021533858924849547,0.0,0.5597804,-0.030002250303798904,-1,2012-04-23 00:00:00+05:30
2012-04-23 00:00:00+05:30,40.65,40.9,39.1,39.4,809478,-0.024752475247524774,-0.0283600493218249,-0.08584686774941996,-0.3189282627484875,-0.3675762439807384,-0.013959390862944066,-0.5724505829227979,-1.9592755150835615,-3.8523381128796785,0.016492377475924483,0.0216274619778598,0.0,0.54514647,-0.03881470421550741,-1,2012-04-26 00:00:00+05:30
2012-04-26 00:00:00+05:30,38.65,39.15,37.5,37.9,2905863,-0.02319587628865971,-0.016861219195849486,-0.15022421524663687,-0.34711455641688194,-0.37303556658395376,0.05277044854881274,-0.8934132951858231,-2.030049652339976,-3.8884280362288735,0.016731594880159285,0.0211274765440918,0.0,0.54072684,0.051425211807437185,1,2012-04-27 00:00:00+05:30
2012-04-27 00:00:00+05:30,38.0,40.05,37.5,39.9,5994087,0.05277044854881274,0.023076923076922995,-0.12882096069868998,-0.31028522039758,-0.35541195476575127,-0.005012531328320691,-0.7081393334663773,-1.9182141919538438,-3.8327931631579375,0.020642602052005826,0.02205703405388502,0.0,0.6756857,-0.02538207327141716,-1,2012-05-04 00:00:00+05:30
2012-05-04 00:00:00+05:30,39.8,39.95,37.15,38.9,1272252,-0.01643489254108721,-0.028714107365792718,-0.11891279728199322,-0.34456613310867734,-0.3945525291828794,0.0012853470437019787,-0.4979685628240631,-1.6710540357826886,-3.6786049333317052,0.018171865394876505,0.020759104511815965,0.0,0.52526075,-0.022093166316705815,-1,2012-05-09 00:00:00+05:30
2012-05-09 00:00:00+05:30,38.65,38.65,37.85,38.05,846030,-0.01806451612903237,-0.060493827160493896,-0.18172043010752692,-0.34509466437177283,-0.3777596075224857,0.0013140604467807293,-0.650121601136064,-1.6635286241356653,-3.6414743755780634,0.018461288868363318,0.02054721104911902,0.0,0.5284802,-0.030689533261213313,-1,2012-05-11 00:00:00+05:30
2012-05-11 00:00:00+05:30,38.2,38.2,36.7,36.9,1524048,-0.03149606299212604,-0.06463878326996209,-0.20129870129870142,-0.3654342218400688,-0.39607201309328977,-0.02981029810298108,-0.9117471421304018,-1.7781212028024171,-3.6830292051636775,0.018982341762414083,0.02049570210054185,0.0,0.56727153,-0.030263657639826934,-1,2012-05-14 00:00:00+05:30
2012-05-14 00:00:00+05:30,36.85,36.9,35.5,35.8,1373853,-0.02981029810298108,-0.10275689223057649,-0.23093447905477982,-0.37954939341421157,-0.40133779264214053,-0.016759776536312665,-1.1959831032171593,-1.937116839846972,-3.7615459078220965,0.019541184839371457,0.020575622499193005,0.0,0.5609668,0.016620881236040497,1,2012-05-28 00:00:00+05:30
2012-05-17 00:00:00+05:30,35.85,36.45,35.8,36.15,1859535,0.019746121297602226,-0.08827238335435061,-0.2538699690402477,-0.35847382431233366,-0.3980016652789342,-0.004149377593360981,-1.5582553350647927,-2.257631046294165,-3.953427571084312,0.02031571288461476,0.0207640399530839,0.0,0.5362476,0.016461277054071927,1,2012-05-31 00:00:00+05:30
