,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-12 00:00:00+05:30,83.59,85.9,83.05,85.52,3358330,0.039377734564900235,-0.09214437367303618,0.20146108457431855,0.11659485572529049,-0.2570584658153071,-0.015318054256314384,-1.5855560088411238,-1.1380152249503652,1.2318148999753475,0.028830692186118136,0.03168106457662309,0.0,0.570279,-0.07261595774774583,-1,2012-04-26 00:00:00+05:30
2012-04-17 00:00:00+05:30,86.82,88.27,84.41,87.64,6060635,0.02251779255629449,-0.04625095222548703,0.17779868297271872,0.12172020990656596,-0.2517715359002817,-0.012094933820173459,-0.5709463033499418,-0.776704961592543,1.1393477402964436,0.027122581239910754,0.03174943211877813,0.0,0.52845126,-0.0262427637050507,-1,2012-04-23 00:00:00+05:30
2012-04-20 00:00:00+05:30,85.9,87.01,84.12,85.71,2364850,-0.003951191167925638,0.010850336124542892,0.12761478752795674,0.050238941306212315,-0.270056208482371,-0.003966865009917053,-0.1926164820541203,-0.5238077460491013,1.071224491656622,0.02284054383927723,0.03101879257311907,0.0,0.50799644,-0.029121376050238085,-1,2012-04-25 00:00:00+05:30
2012-04-25 00:00:00+05:30,85.42,85.9,82.23,83.25,1197830,-0.025974025974025983,-0.008574490889603381,0.0714285714285714,0.014748902974158762,-0.31004475385380403,-0.04468468468468467,-0.5251415380720914,-0.6440013551538186,0.8464868430484245,0.020213690026281622,0.02827630202760898,0.0,0.5338213,-0.04571381989150933,-1,2012-04-26 00:00:00+05:30
2012-04-26 00:00:00+05:30,83.25,83.92,79.14,79.53,3232965,-0.04468468468468467,-0.012540352619816342,0.019746121297602448,-0.03283473184968988,-0.33956153462879923,-0.03394945303659003,-1.2673088033356237,-1.0548809503816017,0.5767829496726904,0.022326671232362708,0.028588337994808,0.0,0.5855604,-0.03453912008950036,-1,2012-04-27 00:00:00+05:30
2012-04-27 00:00:00+05:30,80.64,80.64,75.67,76.83,4891035,-0.03394945303659003,-0.0629345042078302,-0.10610820244328101,-0.07277335264301232,-0.36525115664243235,0.026942600546661533,-2.15984077886489,-1.605001707685389,0.21996161328087283,0.023377890725442687,0.028834195825925578,0.0,0.55223036,-0.05031416751240708,-1,2012-05-09 00:00:00+05:30
2012-04-30 00:00:00+05:30,79.14,79.82,77.41,78.9,4816560,0.026942600546661533,-0.04444713576359438,-0.09174628755611836,-0.033206714863374565,-0.34555408095554074,-0.0041825095057035355,-2.4656998230637868,-1.9038433968431718,-0.025823666983740168,0.024335384488560617,0.028795065147464417,0.0,0.5377515,-0.028540309674384808,-1,2012-05-08 00:00:00+05:30
2012-05-04 00:00:00+05:30,77.31,78.32,76.06,77.21,3419065,-0.0037419354838710284,-0.09250117536436298,-0.09356656492134319,-0.0789693427174043,-0.35749355080302914,0.015023960626861843,-3.1280111400214707,-2.736459618072786,-0.7802708484040721,0.02112736065019868,0.02857195430967862,0.0,0.50781035,-0.05524796095358785,-1,2012-05-09 00:00:00+05:30
2012-05-08 00:00:00+05:30,78.57,79.1,75.96,76.68,1973140,-0.02156437412275103,-0.10483306093859435,-0.12505705157462343,-0.11229451261866163,-0.3363337372338584,-0.047209181011998,-3.1534411268028464,-3.0761932297079113,-1.2018232214069258,0.020779966694000267,0.027688891345446772,0.0,0.5253384,-0.0483598968103074,-1,2012-05-09 00:00:00+05:30
2012-05-09 00:00:00+05:30,75.96,76.49,72.39,73.06,2960600,-0.047209181011998,-0.11677949709864599,-0.16769195716564134,-0.1635947338294218,-0.33223654144959325,0.03435532439091138,-3.6975674393094806,-3.524577771340205,-1.5627222199905617,0.022785660401491416,0.027990371661896905,0.0,0.59439385,-0.027475018080685858,-1,2012-05-16 00:00:00+05:30
2012-05-10 00:00:00+05:30,73.3,76.68,70.26,75.57,18196870,0.03435532439091138,-0.09225225225225231,-0.1861066235864297,-0.1457155776622202,-0.27273602155711674,0.0,-3.664207735115397,-3.6942930063527086,-1.792436891014873,0.024472501402005895,0.028406607560043394,0.0,0.55638754,-0.025871022667751275,-1,2012-05-14 00:00:00+05:30
2012-05-14 00:00:00+05:30,75.77,76.59,72.53,73.64,3324605,-0.025539235146221917,-0.1389148737137511,-0.22663306028145347,-0.1579188107489995,-0.2764786795048143,-0.011814231395980479,-3.7224322307557856,-4.056680259969397,-2.268595368882785,0.02263027919829133,0.02852323744616652,0.0,0.5325725,-0.03538235307842658,-1,2012-05-16 00:00:00+05:30
