,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-16 00:00:00+05:30,45.73,46.0,44.67,45.13,1009743,-0.010524007893005893,-0.10009970089730802,-0.0037527593818983407,-0.11301100628930816,-0.540193581253184,0.0019942388654996535,-1.008404202663442,-0.6790802226714234,-0.9895669766353521,0.030377923534988586,0.0318732274891768,1.0,0.50424796,-0.04951056540864543,-1,2012-04-23 00:00:00+05:30
2012-04-18 00:00:00+05:30,46.38,46.72,45.39,45.87,1535148,0.014374170720919954,-0.03411244472520536,-0.03755770037767514,-0.1408503465068366,-0.533224788847054,-0.0037061260082841274,-1.0668392436876957,-0.8451480437939978,-1.1129401380171302,0.028816868571776132,0.031132555041658783,1.0,0.5074343,-0.024943352547097022,-1,2012-04-20 00:00:00+05:30
2012-04-20 00:00:00+05:30,45.07,45.49,44.43,44.74,976629,-0.021006564551422358,-0.06927397545246516,-0.07961324830281835,-0.199928469241774,-0.5247503717867006,-0.040008940545373295,-1.1434544445129902,-1.004678054546872,-1.239548503171818,0.026637345079054096,0.03114580973149735,1.0,0.5127719,-0.0408313076317192,-1,2012-04-23 00:00:00+05:30
2012-04-23 00:00:00+05:30,44.71,45.01,42.78,42.95,1135188,-0.040008940545373295,-0.1411717656468705,-0.07674118658641449,-0.21538180489587133,-0.5568052832525023,0.038183934807916264,-1.4497864929959547,-1.2311123677281515,-1.38309281884748,0.024785346097722503,0.03156454815469937,1.0,0.5435516,0.03747297020912098,1,2012-04-24 00:00:00+05:30
2012-04-24 00:00:00+05:30,43.0,45.01,42.22,44.59,1988768,0.038183934807916264,-0.05147840884918087,-0.021934634788330798,-0.22317073170731705,-0.5507757404795486,0.016371383718322363,-1.409965665590498,-1.290838347706412,-1.447849344429926,0.024474474412216927,0.031914150899830324,1.0,0.5421445,-0.05106905400091759,-1,2012-05-04 00:00:00+05:30
2012-04-26 00:00:00+05:30,45.39,45.73,43.77,44.14,1738646,-0.026037069726390083,-0.06857986917071113,-0.03980857080704803,-0.09955120359037128,-0.5445258487256217,0.012007249660172192,-1.2855216722444425,-1.353686840896252,-1.5480591520272569,0.024525081319140798,0.03158591479414537,1.0,0.519052,-0.04092583619012256,-1,2012-05-04 00:00:00+05:30
2012-05-03 00:00:00+05:30,44.71,44.81,43.36,43.73,435200,-0.022574877067501276,-0.07214088690855092,-0.04079842070629536,-0.07076073098172553,-0.5421901172529313,-0.031099931397210123,-1.105774113159562,-1.426927655847095,-1.7175139028608157,0.019923570758642727,0.028365436650355787,1.0,0.51457334,-0.03159380078636134,-1,2012-05-04 00:00:00+05:30
2012-05-04 00:00:00+05:30,43.6,43.65,41.87,42.37,876431,-0.031099931397210123,-0.14265479562929995,-0.06899582509338609,-0.12004153686396679,-0.5595176213743633,0.024545669105499046,-1.3299978705413409,-1.5817846493511496,-1.8304846894593325,0.020404142611784266,0.028543588426420078,1.0,0.5269278,-0.021952683057163736,-1,2012-05-09 00:00:00+05:30
2012-05-07 00:00:00+05:30,41.5,43.65,40.95,43.41,841887,0.024545669105499046,-0.12848825537040764,-0.11552567237163813,-0.0887909319899245,-0.5465844996866513,-0.04077401520387003,-1.3188869081248953,-1.6253465242886733,-1.8905462414039746,0.02165541731489898,0.028571774307811423,1.0,0.51870614,-0.041628585564734,-1,2012-05-08 00:00:00+05:30
2012-05-08 00:00:00+05:30,43.68,43.99,41.36,41.64,1134866,-0.04077401520387003,-0.1587878787878788,-0.1640232884962859,-0.12059134107708558,-0.5162077378877657,-0.004562920268972093,-1.539222852206919,-1.7904002286509737,-2.0142198076368274,0.0212705452995738,0.028830772179191107,1.0,0.54579943,-0.0406819146745142,-1,2012-05-11 00:00:00+05:30
2012-05-11 00:00:00+05:30,40.77,40.77,39.42,39.98,687882,-0.020818025961303,-0.13256671729225444,-0.17871815940838132,-0.1918334344046898,-0.5197597597597599,-0.03501750875437715,-2.076893745128835,-2.289772074151621,-2.4166954108047918,0.021190549503583015,0.02852626777688145,1.0,0.512258,-0.03564532159467094,-1,2012-05-14 00:00:00+05:30
2012-05-14 00:00:00+05:30,39.42,40.1,37.71,38.58,1257075,-0.03501750875437715,-0.16330513988288875,-0.21981799797775536,-0.22840000000000005,-0.536298076923077,-0.0020736132711248745,-2.389178093568148,-2.5488684358774734,-2.609619695522248,0.022097756382387517,0.027999057026681384,1.0,0.53375673,-0.02280869620731718,-1,2012-05-16 00:00:00+05:30
2012-05-16 00:00:00+05:30,38.22,38.44,37.22,37.71,1728606,-0.020519480519480493,-0.16441391535563932,-0.26819328546477783,-0.20072064434082237,-0.5385462555066078,0.01988862370723954,-2.7856444162650575,-2.989922863840391,-2.9784031942670453,0.02218434531594034,0.027787349818263824,1.0,0.5117677,0.0463753606368105,1,2012-05-18 00:00:00+05:30
