,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-12 00:00:00+05:30,28.75,29.33,28.45,28.65,2808131,0.008802816901408494,-0.006588072122052702,0.17998352553542007,0.14280015955325087,-0.2781557067271353,-0.01710296684118673,-0.17783248947592867,0.6587671246781213,1.4475331821427844,0.027910838096488106,0.040088188035697234,1.0,0.52003014,-0.017250911870906913,-1,2012-04-13 00:00:00+05:30
2012-04-13 00:00:00+05:30,29.04,29.33,27.47,28.16,4442001,-0.01710296684118673,-0.1303273625694874,0.12101910828025475,0.10388083104664836,-0.2938816449348045,0.012073863636363535,-0.29085417536308356,0.5465831285351825,1.3809361823960415,0.027988126160417306,0.03933798206251532,1.0,0.52437943,0.03934362954980038,1,2012-04-17 00:00:00+05:30
2012-04-17 00:00:00+05:30,28.7,29.38,27.96,29.29,4078074,0.027719298245614032,-0.03077432164129712,0.07961666052340588,0.1572500987751877,-0.28578395513289445,0.00990099009900991,-0.21975700573641888,0.47308094681782364,1.3160116716475763,0.023849906687335488,0.03930059795539379,1.0,0.5309449,-0.01687077369774179,-1,2012-04-19 00:00:00+05:30
2012-04-19 00:00:00+05:30,30.07,30.07,28.5,28.8,5927052,-0.026369168356997874,-0.009969061533172896,0.02091456930166613,0.14014251781472686,-0.3035066505441354,-0.020486111111111094,-0.1305314599484646,0.4445271571734217,1.274867965626406,0.024243558886247935,0.03901665512719658,1.0,0.5315346,-0.02069886212799531,-1,2012-04-20 00:00:00+05:30
2012-04-20 00:00:00+05:30,28.75,28.89,27.96,28.21,5024820,-0.020486111111111094,-0.04952830188679247,0.021361332367849428,0.11019283746556474,-0.30959373470386686,-0.017369727047146455,-0.23098975310288594,0.35743320158519865,1.2158130356184351,0.02390967444718965,0.03906490693343004,1.0,0.52646756,-0.07774121068525719,-1,2012-04-26 00:00:00+05:30
2012-04-24 00:00:00+05:30,27.76,27.91,26.93,27.67,4363278,-0.0018037518037516964,-0.034205933682373346,0.018027961736571063,0.09758032526775096,-0.3269277548041839,0.008673653776653412,-0.46738092001744036,0.14364465946591665,1.0675320148787506,0.020688802062590318,0.03846255577548101,1.0,0.51846695,-0.05841347947018681,-1,2012-04-26 00:00:00+05:30
2012-04-26 00:00:00+05:30,28.06,28.16,25.9,26.1,8704054,-0.06485130777499104,-0.09813407049067036,-0.029017857142857095,0.05157131345688959,-0.3390731830843251,0.031800766283524906,-0.7646163027591477,-0.12039157071261641,0.8810968193895157,0.021740707378937553,0.03876776864600918,1.0,0.59322345,-0.03628250518142326,-1,2012-05-04 00:00:00+05:30
2012-04-27 00:00:00+05:30,26.44,27.13,25.85,26.93,7048195,0.031800766283524906,-0.11297760210803687,-0.05176056338028168,0.0806581059390048,-0.3353899308983219,-0.028963980690679625,-0.8253852585061523,-0.222389736652147,0.7957098174162667,0.0234363470092951,0.03836656964923884,1.0,0.53547955,-0.02939171631257572,-1,2012-04-30 00:00:00+05:30
2012-04-30 00:00:00+05:30,27.42,27.72,25.31,26.15,6569682,-0.028963980690679625,-0.1332449453099106,-0.12189388851578253,0.03893524036551432,-0.3242894056847546,0.020650095602294583,-0.9651286400227868,-0.3675747883217326,0.6849670620020589,0.023973914772591556,0.03813808418027476,1.0,0.53373164,-0.038196381363707246,-1,2012-05-04 00:00:00+05:30
2012-05-04 00:00:00+05:30,25.7,26.24,25.02,25.17,3240951,-0.04441913439635525,-0.17771969944462584,-0.12452173913043474,-0.0770077007700769,-0.339716684155299,0.011521652761223633,-1.1828322427553886,-0.704603177593718,0.3847224116464716,0.025689154108800745,0.03840715161947117,1.0,0.5541342,-0.058491419965702666,-1,2012-05-08 00:00:00+05:30
2012-05-08 00:00:00+05:30,25.51,25.66,23.3,23.74,4011094,-0.06755695208169687,-0.20013477088948795,-0.1947082767978291,-0.07805825242718456,-0.3590712742980562,-0.0703454085930918,-1.5131008300548245,-1.0436995246149507,0.10785270358343979,0.027877813266721917,0.03914127683698072,1.0,0.59933275,-0.07294216891287691,-1,2012-05-09 00:00:00+05:30
2012-05-09 00:00:00+05:30,23.84,23.84,21.88,22.07,6754063,-0.0703454085930918,-0.22288732394366195,-0.24262182566918322,-0.13822725497852395,-0.40719849583669077,-0.03081105573176257,-1.9150782244528415,-1.357320912363619,-0.11424205096825446,0.03106629634438752,0.038803546323918886,1.0,0.60402966,-0.0689281444731096,-1,2012-05-11 00:00:00+05:30
2012-05-11 00:00:00+05:30,21.39,21.49,20.16,20.6,10948290,-0.03693314633006073,-0.27464788732394363,-0.2759226713532512,-0.20463320463320456,-0.4301521438450898,-0.042718446601941906,-2.588123632478432,-1.9845064821165508,-0.5896584888380474,0.03106561823632665,0.03897240730181108,1.0,0.5418483,-0.0436577266210462,-1,2012-05-14 00:00:00+05:30
2012-05-14 00:00:00+05:30,20.6,20.75,19.52,19.72,7431551,-0.042718446601941906,-0.31169284467713787,-0.35471204188481675,-0.24007707129094413,-0.4469994391475042,0.032454361054766734,-2.898208629473057,-2.3100552265837884,-0.8486289192719312,0.03164099837638861,0.03927363858981043,1.0,0.549556,-0.03299268315434889,-1,2012-05-18 00:00:00+05:30
2012-05-16 00:00:00+05:30,20.01,20.11,19.13,19.47,9766567,-0.04371316306483308,-0.3168421052631579,-0.3352680095595767,-0.20139458572600488,-0.4636363636363636,-0.0046224961479198745,-3.10795948246669,-2.763751189185431,-1.2891832827112282,0.03177920916546051,0.038304489809609155,1.0,0.5509713,0.0076746347531088865,1,2012-05-30 00:00:00+05:30
2012-05-23 00:00:00+05:30,18.79,20.36,18.25,19.97,12045218,0.041188738269030134,-0.2795815295815296,-0.37846249610955507,-0.00696171059174544,-0.44620077648363843,-0.007511266900350422,-2.782230979435962,-3.3339413908297146,-2.1671150364262424,0.034830330061630006,0.035666644100070165,1.0,0.5491178,-0.03516285824532423,-1,2012-06-04 00:00:00+05:30
2012-05-30 00:00:00+05:30,20.11,20.16,18.98,19.62,7922349,-0.033973412112259904,-0.24971319311663476,-0.22786304604486418,-0.015060240963855498,-0.4127506734510624,0.030071355759429208,-1.8606419328167085,-3.13668914452861,-2.5898007598508244,0.031148016913044634,0.03374584496266832,1.0,0.53842807,-0.03316366095543527,-1,2012-06-05 00:00:00+05:30
2012-06-04 00:00:00+05:30,19.62,19.62,18.98,19.28,4095177,-0.01732925586136591,-0.23400874056416365,-0.3067241999280833,-0.04601682335477486,-0.4150485436893203,-0.01556016597510379,-1.5781405105081276,-2.9998345244037985,-2.7733043665340347,0.03165950359719817,0.033835502673172736,1.0,0.52297574,0.09446108309780823,1,2012-06-06 00:00:00+05:30
2012-06-06 00:00:00+05:30,19.13,21.44,19.03,21.19,15889680,0.11643835616438358,-0.10741364785172691,-0.22437774524158127,0.016306954436450916,-0.36575875486381315,0.007078810759792331,-1.2212143309096746,-2.8007621580199995,-2.8213842371007303,0.03758725716285272,0.036769418076994305,1.0,0.7427507,0.04295280437392633,1,2012-06-20 00:00:00+05:30
2012-06-12 00:00:00+05:30,21.14,22.42,20.75,22.22,9716719,0.04613935969868166,0.12677484787018267,-0.22954230235783635,0.20760869565217388,-0.307356608478803,0.0022502250225022724,-0.27009884623050695,-2.0753160355946108,-2.6503730423008527,0.03521668871084818,0.031902030350846655,1.0,0.5561736,-0.04746341193127611,-1,2012-06-14 00:00:00+05:30
