,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-12 00:00:00+05:30,126.0,128.45,125.55,128.0,9351937,0.033508276140492566,-0.06909090909090909,0.08612643190496394,0.024819855884707698,-0.4025670945157527,-0.024609375000000044,-4.740522063131806,-5.610884380081927,-3.8705305226358178,0.023320222351464113,0.03138064322825027,0.0,0.55117667,-0.030942571709055684,-1,2012-04-16 00:00:00+05:30
2012-04-16 00:00:00+05:30,124.0,124.55,122.55,124.1,6208951,-0.006007208650380402,-0.13879250520471897,-0.04794783275795933,-0.01429706115965057,-0.4239962868414946,0.03142626913779223,-4.791284735520151,-5.957839802938338,-4.446146287209103,0.022922927833551255,0.03152933366436229,0.0,0.5149888,0.05219941073447076,1,2012-04-18 00:00:00+05:30
2012-04-17 00:00:00+05:30,124.0,128.4,123.75,128.0,6034042,0.03142626913779223,-0.09668313338038104,-0.035418236623963706,0.00747737111373481,-0.39736346516007537,0.021484375,-4.1758053729306255,-5.7778778878751496,-4.550281513556911,0.02443180461152227,0.03080662473923638,0.0,0.5468894,-0.07458885699107264,-1,2012-04-23 00:00:00+05:30
2012-04-20 00:00:00+05:30,126.35,128.35,123.9,125.0,9692856,-0.024199843871974935,-0.09616775126536525,-0.11032028469750887,-0.03063202791779751,-0.3972999035679846,-0.04959999999999998,-3.093614190644942,-5.316230811391506,-4.806168459569307,0.025469874021708208,0.03058387931598086,0.0,0.5313538,-0.05087233037375655,-1,2012-04-23 00:00:00+05:30
2012-04-23 00:00:00+05:30,125.2,125.7,118.45,118.8,11093246,-0.04959999999999998,-0.13189623675557183,-0.14991055456171742,-0.07692307692307687,-0.4333412830908657,0.015572390572390571,-4.029825104535433,-5.837434650703898,-5.22627895537039,0.02692449232811382,0.03073390986735213,0.0,0.58815897,-0.008877674032017453,-1,2012-05-08 00:00:00+05:30
2012-04-26 00:00:00+05:30,120.65,121.15,115.55,116.25,10257747,-0.030037546933667003,-0.091796875,-0.15362213323625773,-0.08966327329678936,-0.43292682926829273,0.021935483870967776,-5.26797491428907,-6.837102156274355,-6.257638208272567,0.027301997342882123,0.03022728657137773,0.0,0.540836,-0.02702867238791926,-1,2012-05-11 00:00:00+05:30
2012-04-30 00:00:00+05:30,119.5,122.0,119.25,120.75,5195430,0.016414141414141437,-0.03861464968152861,-0.149947201689546,-0.008213552361396315,-0.453125,-0.0053830227743271175,-4.883959496402937,-6.961477565176239,-6.700406588226258,0.02770110562953459,0.028573213790374676,0.0,0.52356344,-0.040994542186975944,-1,2012-05-04 00:00:00+05:30
2012-05-04 00:00:00+05:30,118.75,118.8,114.35,115.9,9708684,-0.024410774410774327,-0.08955223880597007,-0.2094133697135061,-0.18552354181307096,-0.473301522381277,-0.002157031924072461,-4.804712422012614,-7.224040573876877,-7.365409950416009,0.024783529459051996,0.027361904177110718,0.0,0.5316,-0.024013378266159586,-1,2012-05-11 00:00:00+05:30
2012-05-09 00:00:00+05:30,115.8,121.1,113.55,118.8,14630333,0.008917197452229297,-0.05714285714285716,-0.22174909924664266,-0.12743297833272127,-0.44316850246074524,-0.01094276094276092,-4.229016040627741,-7.207340012387604,-7.880170864862251,0.02264069995283809,0.02661475686593711,0.0,0.516975,-0.04872703484899807,-1,2012-05-11 00:00:00+05:30
2012-05-11 00:00:00+05:30,116.0,117.3,112.65,113.15,9608925,-0.03702127659574461,-0.08639483245861923,-0.26382563435263495,-0.18743267504488326,-0.4492577269408614,-0.011931064958020432,-4.429815176483771,-7.388237411289765,-8.284888312550464,0.02228363742299167,0.026574821705028114,0.0,0.5557125,-0.02551044582008966,-1,2012-05-16 00:00:00+05:30
2012-05-15 00:00:00+05:30,111.0,115.05,110.5,114.35,7262761,0.02280858676207509,-0.08410092110532641,-0.281269641734758,-0.14981412639405212,-0.433068914229053,-0.0354175776125929,-4.669817589883607,-7.664921244553298,-8.749364855230908,0.022780216829114405,0.02616800708119884,0.0,0.53204525,-0.03605999420933334,-1,2012-05-16 00:00:00+05:30
2012-05-16 00:00:00+05:30,111.55,112.6,109.5,110.3,10160344,-0.0354175776125929,-0.11120064464141821,-0.27861347285807725,-0.14296814296814286,-0.4555774925962488,-0.013145965548504113,-5.0473377615242185,-7.939942763639365,-9.051144915659734,0.02223155098116177,0.02638535510240533,0.0,0.55206734,-0.029907911223764953,-1,2012-05-22 00:00:00+05:30
2012-05-18 00:00:00+05:30,106.0,109.15,105.85,107.95,11582334,-0.008268259072117479,-0.1743785850860421,-0.32991930477963993,-0.13949780789159028,-0.4730290456431535,0.022695692450208416,-5.742016467919456,-8.53454527810473,-9.69811413767826,0.021037537403358505,0.02565087269164952,0.0,0.515498,0.06282909424837425,1,2012-05-28 00:00:00+05:30
2012-05-21 00:00:00+05:30,108.0,111.25,108.0,110.4,8130040,0.022695692450208416,-0.13817330210772827,-0.32061538461538464,-0.10534846029173417,-0.43428132205995384,-0.030344202898550776,-5.511918817892109,-8.549550284468268,-9.884874298416506,0.021773619682018037,0.025478485113174954,0.0,0.5319617,-0.030814118807303184,-1,2012-05-22 00:00:00+05:30
2012-05-22 00:00:00+05:30,111.35,112.4,106.75,107.05,8693615,-0.030344202898550776,-0.14360000000000006,-0.3055465455724944,-0.12861212861212856,-0.4592068704218236,0.004670714619336769,-5.725725942665562,-8.778578289688454,-10.178304219122694,0.020104270764332882,0.025089464011701947,0.0,0.5416907,0.07120123617349887,1,2012-05-28 00:00:00+05:30
2012-05-24 00:00:00+05:30,109.0,111.4,107.3,110.6,7148669,0.028358902835890154,-0.08329879817654384,-0.2892030848329049,-0.07253668763102727,-0.42827604032049627,0.01175406871609419,-5.156353166350044,-8.71067367894912,-10.498853275531985,0.021064972448788223,0.025426046113239495,0.0,0.54169524,0.05325790937920474,1,2012-05-31 00:00:00+05:30
2012-05-28 00:00:00+05:30,111.9,115.65,111.9,114.95,7015770,0.027256478999106326,-0.011182795698924664,-0.21722846441947563,-0.03767266638760991,-0.3934036939313984,-0.003479773814702103,-3.493857785374203,-7.891186055828356,-10.385902703303273,0.020743171566761216,0.02406041981351734,0.0,0.5395489,0.04673747785168984,1,2012-06-06 00:00:00+05:30
2012-06-05 00:00:00+05:30,116.35,119.1,116.35,117.3,6902149,0.016905071521456483,0.014267185473411104,-0.20609137055837567,-0.10628571428571432,-0.40622627182991655,0.026854219948849067,-0.2477719668833629,-5.168982030208696,-9.397926207990594,0.020060276217273427,0.022074106278785,0.0,0.52396846,0.04866836890711718,1,2012-06-12 00:00:00+05:30
2012-06-06 00:00:00+05:30,118.6,120.9,118.0,120.45,6557828,0.026854219948849067,0.02292993630573248,-0.13902787705503938,-0.11041358936484491,-0.37606837606837606,-0.0037359900373599153,0.5328145134619859,-4.501661751900087,-9.055549667594548,0.020864731529528623,0.022110567926363144,0.0,0.5388498,0.015651060827800288,1,2012-06-20 00:00:00+05:30
2012-06-12 00:00:00+05:30,119.9,123.6,119.1,123.15,7437501,0.021991701244813422,0.10152057245080504,-0.10436363636363633,-0.0681044267877412,-0.34892942109436953,-0.004466098254161666,2.2063054515930673,-2.3631668199891323,-7.7439563780175575,0.018272844023482438,0.021520235513223275,0.0,0.5307275,-0.023830215580676425,-1,2012-06-14 00:00:00+05:30
2012-06-14 00:00:00+05:30,122.4,123.25,119.7,120.25,5443532,-0.019168026101141877,0.0902085222121487,-0.16551006245662736,-0.0717869548436898,-0.35935002663825244,0.02952182952182958,2.285985873784014,-1.6409812607224268,-7.159160329962532,0.016351425102101746,0.02162121787707251,0.0,0.524693,-0.02483815332644084,-1,2012-06-22 00:00:00+05:30
2012-06-15 00:00:00+05:30,121.0,124.45,120.4,123.8,7665479,0.02952182952182958,0.13734497014239788,-0.12632321806633728,-0.027494108405341722,-0.325891641709774,-0.012116316639741553,2.6162736562826012,-1.1588063523505667,-6.791050401744073,0.016897322673880517,0.02188028133035493,0.0,0.5440627,-0.019988428077885347,-1,2012-06-21 00:00:00+05:30
2012-06-21 00:00:00+05:30,121.3,122.2,119.8,121.35,5893509,-0.008173273395995051,0.12831241283124117,-0.11326269638290098,0.021034917963819844,-0.31343705799151345,-0.03337453646477129,2.2252937590228186,-0.2462759546688318,-5.752405226429261,0.014368644925760007,0.021342640495532143,0.0,0.5151199,-0.033944176513180574,-1,2012-06-22 00:00:00+05:30
2012-06-22 00:00:00+05:30,120.0,120.65,115.9,117.3,9080818,-0.03337453646477129,0.06057866184448457,-0.11771342610003754,-0.045565500406834936,-0.32313906520484714,-0.021739130434782594,1.4262553033806427,-0.4624498259321683,-5.7177025002016535,0.016583017144051724,0.02171850671107616,0.0,0.5490317,-0.021978906718775226,-1,2012-06-25 00:00:00+05:30
