,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2025-03-03 00:00:00+05:30,156.65,158.62,143.22,147.31,29097095,-0.05582617613126528,-0.271139478501806,-0.28735910212374827,-0.38345959067509316,-0.04899935442220793,-0.018125042427533877,-12.349617928105914,-16.04738928657011,-16.27114132285095,0.03200871214611576,0.03132337617843956,1.0,0.57737625,-0.01829131318298071,-1,2025-03-04 00:00:00+05:30
2025-03-10 00:00:00+05:30,149.17,150.5,142.94,143.95,9928538,-0.03770305501704674,-0.23666348499310652,-0.3490843319014244,-0.35497602724380517,-0.05853499018966657,-0.013685307398402236,-14.405156785720806,-19.556829830740583,-20.29649248732855,0.03177945987335008,0.03167281931059362,1.0,0.557749,-0.04105358321976168,-1,2025-03-17 00:00:00+05:30
2025-03-13 00:00:00+05:30,142.0,142.45,139.21,139.85,7255248,-0.009981594223417822,-0.2076038302453398,-0.35695236343571823,-0.39885660247592847,-0.05474822575194316,-0.012084376117268536,-14.595738744341048,-20.923453396845133,-22.425134705127704,0.03090326731563515,0.031520581769047436,1.0,0.53937143,0.08245447209420992,1,2025-03-19 00:00:00+05:30
2025-03-18 00:00:00+05:30,140.25,147.3,139.98,145.95,23100355,0.056383902721482304,-0.17570315147407667,-0.31320879017458003,-0.36096151320110337,0.08877284595300239,0.04056183624528953,-13.131463679362184,-20.863513782892454,-23.348481470902385,0.03252367143148168,0.03244303350636557,1.0,0.59636265,0.15276960619046565,1,2025-03-24 00:00:00+05:30
2025-03-19 00:00:00+05:30,147.5,152.5,147.05,151.87,17305616,0.04056183624528953,-0.0968720266412939,-0.2639461057529201,-0.3331430578730131,0.19254024342363585,-0.012576545729900523,-11.049123096803811,-19.964067822450062,-23.32655220052564,0.03408218150261214,0.03288863446150308,1.0,0.56920624,0.11300881174841068,1,2025-03-24 00:00:00+05:30
2025-03-24 00:00:00+05:30,156.35,173.3,156.23,170.04,73222288,0.09830771218188872,-0.0009400705052878822,-0.15650577905650087,-0.2682360029263675,0.2770559519339091,-0.0005292872265350024,-4.115322054604093,-16.026877281509115,-22.334676994662033,0.03885715019584555,0.03573073237122228,1.0,0.63581055,-0.042774420710377625,-1,2025-03-26 00:00:00+05:30
2025-03-26 00:00:00+05:30,170.0,171.0,162.25,162.92,27974467,-0.041365107384524924,-0.08131273260403749,-0.18204639019981939,-0.28339564548053664,0.29507154213036557,-0.00773385710778296,-0.5124145548315369,-12.994888840142039,-21.093152384917886,0.03906260125962367,0.032950622019901385,1.0,0.5633059,-0.08529421723983496,-1,2025-04-07 00:00:00+05:30
2025-04-04 00:00:00+05:30,162.07,162.59,154.7,156.45,12607809,-0.03132932945328459,0.08165099557522115,-0.32140533506831503,-0.2994357872111768,0.09674027339642466,-0.04378395653563438,0.08946788535405403,-9.049167498413993,-19.06038730559507,0.03281717284202632,0.030972754795023795,1.0,0.5556281,-0.04477140457451427,-1,2025-04-07 00:00:00+05:30
2025-04-07 00:00:00+05:30,140.8,151.76,140.8,149.6,15255208,-0.04378395653563438,0.015890262121417864,-0.3031488727408236,-0.32509248398448076,-0.0010016694490818656,0.02840909090909083,-1.33147781082738,-9.35801745487467,-19.15510405695403,0.03426864590849934,0.03117142582649294,1.0,0.56529874,0.10990897922547757,1,2025-04-15 00:00:00+05:30
2025-04-15 00:00:00+05:30,159.0,168.75,158.6,166.98,27595431,0.08287937743190654,0.17608113818847726,-0.16987322893363166,-0.28546364842312466,-0.0419965576592084,0.05635405437776986,-0.420652733908895,-7.860748661140008,-18.179209221286442,0.03784526784409952,0.03213580617185568,1.0,0.6092685,0.0004789845619058322,1,2025-04-30 00:00:00+05:30
2025-04-16 00:00:00+05:30,177.03,179.68,174.0,176.39,115506723,0.05635405437776986,0.24869035820472885,-0.11752051230738447,-0.22842395345785405,0.04218611521418003,-0.016894381767673883,2.2565402970819264,-6.078715071229254,-17.15534903720362,0.038978531809725804,0.033024494760847276,1.0,0.57386947,-0.05141563844006626,-1,2025-04-25 00:00:00+05:30
2025-04-25 00:00:00+05:30,175.14,176.43,166.35,167.55,17407389,-0.04333675916409718,0.08222451879602133,-0.18443341121495316,-0.20225682045422078,0.04262601120099574,0.0020292450014920416,5.688383398641918,-0.2864455562808246,-12.543758809489361,0.03157563799606544,0.03339677705932156,1.0,0.56515473,-0.04467153116353087,-1,2025-05-06 00:00:00+05:30
2025-05-06 00:00:00+05:30,168.51,168.74,159.75,160.23,10925576,-0.050488888888888916,-0.002738532395593407,-0.1660768189861559,-0.21979841262112287,-0.11670341786108052,0.013355801036010861,1.004939263707513,-0.7418777522010487,-10.935884915893865,0.032525418963215126,0.03267539166837301,1.0,0.5720535,0.07835620863236545,1,2025-05-16 00:00:00+05:30
2025-05-09 00:00:00+05:30,153.2,158.0,153.0,156.48,11637047,-0.014547515586623816,0.00019175455417075327,-0.19302769325975977,-0.26181715256156246,-0.1289730030615086,0.07361963190184051,-1.7459560069384565,-2.1620928076133623,-10.993043803232126,0.030721875077865262,0.03227736601945894,1.0,0.54717374,0.07103577311675174,1,2025-05-12 00:00:00+05:30
2025-05-12 00:00:00+05:30,165.0,168.85,163.0,168.0,12043565,0.07361963190184051,0.12299465240641716,-0.09934058864525819,-0.1820040899795501,-0.02467343976777936,-0.005476190476190412,-0.8214015177748024,-1.7817566424014046,-10.624699693659807,0.03418219766822029,0.0336526406578493,1.0,0.596104,0.03250176290453634,1,2025-05-26 00:00:00+05:30
2025-05-16 00:00:00+05:30,167.5,175.98,167.02,173.29,24274411,0.039220389805097344,0.037788956761288794,-0.0814206201961305,-0.13605543922624397,0.05215543412264734,0.005424433031334663,1.4911732988720416,-0.4289757582301661,-9.174712211465618,0.026915893661606644,0.033462047955354415,1.0,0.5585919,0.008275433698792911,1,2025-05-30 00:00:00+05:30
2025-05-27 00:00:00+05:30,173.8,175.65,171.28,175.24,8393528,0.009737827715355696,0.04589674723962989,0.08905599403393216,-0.050601365261675135,-0.045793629185951534,-0.009358593928326941,3.188481863946265,1.8121235766178643,-6.393812171234629,0.02524798930891443,0.031740113683094186,1.0,0.5449225,0.040374507971630585,1,2025-06-10 00:00:00+05:30
2025-06-09 00:00:00+05:30,175.69,186.58,175.36,183.24,55881568,0.04786412763767367,0.17101226993865049,0.26686946902654896,-0.15565385678739285,-0.04512767066180301,-0.004256712508186045,3.7799374578322045,3.623806199371728,-3.218615058465872,0.017600067354455833,0.029467617312995843,1.0,0.57687575,-0.04287286640410015,-1,2025-06-12 00:00:00+05:30
2025-06-12 00:00:00+05:30,182.2,183.49,174.5,175.55,15247001,-0.03723812657672476,0.0462482865486622,0.17354101209973938,-0.20855687299941383,-0.01542344363432413,-0.0472230133864997,3.809923082023488,4.2621349193166225,-2.0914038834703206,0.01980994520392304,0.0293692172681047,1.0,0.55909747,-0.048374414661061675,-1,2025-06-13 00:00:00+05:30
