,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2017-10-31 00:00:00+05:30,819.0,839.0,808.35,830.25,32952,0.01305594533585519,0.07267441860465107,0.08197041767120616,0.1642010797167497,0.3253252454306008,-0.011803673592291397,12.428038840244994,17.49344974429141,20.279639149124023,0.011159192195566476,0.011911731050213759,1.0,0.53435737,-0.011873890035696506,-1,2017-11-01 00:00:00+05:30
2017-11-02 00:00:00+05:30,817.0,834.5,809.0,810.55,16339,-0.012066548845146019,0.014519056261342866,0.06051288760957729,0.1399339005695801,0.24652056901191832,0.0074640676084141155,10.244982280745262,16.927591596370462,20.73950769043381,0.008822323193038488,0.01209606779650489,1.0,0.5322306,0.07845182900695791,1,2017-11-08 00:00:00+05:30
2017-11-07 00:00:00+05:30,835.0,841.0,817.0,820.3,64202,0.006071012448641611,0.01692183722804197,0.05376067827092279,0.11879432624113462,0.27158580065106164,0.06875533341460449,8.746784980845405,16.331323537328558,21.36415596251561,0.008584121433824187,0.012102465687696516,1.0,0.5080926,0.06649473158583577,1,2017-11-08 00:00:00+05:30
2017-11-08 00:00:00+05:30,828.95,889.7,825.05,876.7,485299,0.06875533341460449,0.09649177662435138,0.13122580645161297,0.18289145247250893,0.3740302484131339,0.06803923805178513,16.5880677912063,20.57989955795165,23.854854470391274,0.01732892152463537,0.014710755408990082,0.47619048,0.9721833,0.06582447961197754,1,2017-11-09 00:00:00+05:30
2017-11-09 00:00:00+05:30,885.0,968.0,880.0,936.35,680366,0.06803923805178513,0.17160910910910898,0.20129578548976834,0.25113575628006424,0.48074642207638174,0.008650611416671117,30.38759784144304,28.659763299017072,28.5018047008856,0.02237743689184389,0.01663474328992099,0.47619048,0.60068035,0.06821294441867136,1,2017-11-23 00:00:00+05:30
2017-11-13 00:00:00+05:30,945.0,984.8,921.25,973.15,214931,0.030388056540843866,0.20963331261653195,0.2747576630861934,0.30161171671236553,0.5508366533864542,-0.027128397472126586,51.732230129652976,44.21276904076376,38.37033985234473,0.02284784713193996,0.016848385947266502,0.47619048,0.50106204,0.0250647317254103,1,2017-11-27 00:00:00+05:30
2017-11-21 00:00:00+05:30,960.05,996.0,960.05,983.75,96574,0.01690097167665905,0.22448344535723175,0.2720631020883171,0.27058443655150155,0.6109882911651519,0.00904701397712837,60.530795572605825,66.94054201886513,59.93633690704587,0.02379439634488433,0.015895036947979595,0.9047619,0.5300906,-0.0016786635678843888,-1,2017-12-05 00:00:00+05:30
2017-11-29 00:00:00+05:30,999.1,1022.5,998.0,1015.85,75908,0.0167650885797217,0.22354712436013258,0.35881487426431247,0.3104360165118678,0.6785360211500329,-0.00246099325687843,56.56821165738506,78.06871585584099,77.60754849252771,0.023041304784656266,0.015883588349407517,1.0,0.52709746,-0.03378784327989099,-1,2017-12-05 00:00:00+05:30
2017-12-05 00:00:00+05:30,1000.0,1004.0,968.85,982.1,66010,-0.023902996571087742,0.20451339915373756,0.29147215464527587,0.2528383722413574,0.5254737496116808,-0.009214947561348219,43.34181700833949,75.91069076755082,84.11981344893331,0.024328225735315196,0.01641116454166203,1.0,0.5565562,0.07344954489796654,1,2017-12-13 00:00:00+05:30
2017-12-08 00:00:00+05:30,970.0,994.0,965.2,984.6,107088,0.019782496116002024,0.05152987664868913,0.2741507602717568,0.22745122483326075,0.521205098493627,-0.002589884216940952,27.046547456060694,66.44533840647478,83.56072137464162,0.014492412659919667,0.01655829027673515,1.0,0.5319024,0.07090721373759486,1,2017-12-13 00:00:00+05:30
2017-12-12 00:00:00+05:30,982.05,1007.4,982.05,1001.1,85356,0.019398197647777726,0.028721163232800828,0.30131288184063454,0.2508277628537514,0.5625097549555174,0.05578863250424537,24.66956447352129,63.318489609774474,84.08928998462432,0.011800616383250187,0.016687708028883145,1.0,0.5311972,0.054288006636257054,1,2017-12-13 00:00:00+05:30
2017-12-13 00:00:00+05:30,1000.0,1079.9,999.95,1056.95,243575,0.05578863250424537,0.11639820438341708,0.38262803322650263,0.3395222102528359,0.6433957863639899,-0.01263068262453293,32.414298971172116,66.62212907119783,86.76555541292419,0.01656302352742309,0.01778050196586264,1.0,0.6345886,-0.025294761772388714,-1,2017-12-18 00:00:00+05:30
2017-12-18 00:00:00+05:30,1040.0,1050.0,1012.0,1030.55,38449,-0.008657592227406141,0.0671533602568084,0.361900356812475,0.27962997454522864,0.5824184261036467,0.0014070156712435722,35.24734819503851,68.13971573039225,90.80463796507513,0.01732752941338658,0.01797081573051428,1.0,0.5280467,0.042228021272456874,1,2017-12-22 00:00:00+05:30
2017-12-21 00:00:00+05:30,1024.55,1048.5,1022.9,1043.8,24231,0.026452945225685864,0.05152873621115184,0.355320392131403,0.2685179558850337,0.5368080094228502,0.029890783675033505,30.9315559619929,65.46614081660323,92.3139728661605,0.01817950841907563,0.018265103441144955,1.0,0.5440263,0.048981753402703325,1,2017-12-28 00:00:00+05:30
2017-12-22 00:00:00+05:30,1042.0,1080.0,1042.0,1075.0,54024,0.029890783675033505,0.07237268691705312,0.3753838280450359,0.2980740204069312,0.5807661201382253,-0.013441860465116307,35.28849638083693,67.5702115299838,94.26526289624314,0.018892788393430247,0.018540040470088042,1.0,0.55093354,0.06343325939799378,1,2018-01-01 00:00:00+05:30
2017-12-28 00:00:00+05:30,1058.5,1112.0,1058.5,1096.2,98651,0.014389487808263546,0.09718746872184969,0.40736936705610494,0.3984818523952287,0.611821790913101,0.020662287903667087,41.603947806663996,71.56758467150485,99.12226137216726,0.019521301706128025,0.018362202692881385,1.0,0.5247113,0.043904267347740986,1,2018-01-01 00:00:00+05:30
2017-12-29 00:00:00+05:30,1104.0,1126.2,1094.75,1118.85,50158,0.020662287903667087,0.10139292218339313,0.4455426356589147,0.4164451196353969,0.6511953955135772,0.023729722482906723,46.47941238371959,74.77548411274608,101.80039424340521,0.01980175636012757,0.018409674259048117,1.0,0.5325832,0.005170504053026088,1,2018-01-12 00:00:00+05:30
2018-01-01 00:00:00+05:30,1109.0,1159.9,1109.0,1145.4,46400,0.023729722482906723,0.13031035673755365,0.48243059600077665,0.4568812007122869,0.7095522388059703,0.0031430068098479147,52.917777483146665,79.17124301985757,105.19880090657978,0.020229442014755118,0.01854766987789745,1.0,0.5376362,-0.03274617090339089,-1,2018-01-05 00:00:00+05:30
