,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-13 00:00:00+05:30,19.68,20.43,19.54,19.82,3255930,0.01693175987686013,-0.09040844424047723,-0.027477919528949846,-0.27953471464921853,-0.47566137566137556,0.00908173562058523,-0.4228088248621269,-0.9029624090767214,-1.6484349775649072,0.032090185993950145,0.029121724765293802,1.0,0.5196554,0.028843371948328773,1,2012-04-17 00:00:00+05:30
2012-04-17 00:00:00+05:30,19.86,20.7,19.82,20.4,4022064,0.020000000000000018,-0.010669253152279512,-0.03682719546742219,-0.31749749079959855,-0.4570135746606335,-0.008823529411764675,-0.21730850357750597,-0.7734782726593572,-1.589493354386665,0.02277315512868359,0.02781317701456157,1.0,0.522959,0.035632079591920954,1,2012-04-30 00:00:00+05:30
2012-04-20 00:00:00+05:30,20.53,21.19,20.34,20.63,4428726,0.01028403525954924,0.0482723577235773,-0.060136674259681056,-0.3444550365427391,-0.4277392510402219,0.009694619486185108,0.013948582245227215,-0.5757731103454056,-1.4787277182233751,0.021133053291554498,0.027308163744523793,1.0,0.5137958,0.024420653358931163,1,2012-04-30 00:00:00+05:30
2012-04-25 00:00:00+05:30,20.78,20.78,20.2,20.53,929334,-0.0038816108685103545,0.037917087967644036,-0.009647853352628966,-0.3142952571810287,-0.4190718732314658,-0.005358012664393508,0.14502618704579362,-0.3967523499505674,-1.3535451322103498,0.01897900533547926,0.026550407714105863,1.0,0.51022196,0.029279749411249365,1,2012-04-30 00:00:00+05:30
2012-04-27 00:00:00+05:30,20.42,20.73,20.42,20.68,1075596,0.01273261508325163,0.0567194685743484,-0.038139534883720905,-0.32152230971128615,-0.41166429587482223,0.022243713733075543,0.15924430806735757,-0.3209518704038459,-1.284947482378648,0.017116828876600182,0.025630319650063266,1.0,0.5153684,0.021999930801863295,1,2012-04-30 00:00:00+05:30
2012-04-30 00:00:00+05:30,21.26,21.74,20.93,21.14,3705510,0.022243713733075543,0.11615628299894398,-0.05371530886302589,-0.29415692821368944,-0.3990903922683343,0.010879848628192912,0.2405151548140445,-0.24469607084956735,-1.2289314802246345,0.016770684385149857,0.025355877194861962,1.0,0.52575994,-0.0171759947710102,-1,2012-05-04 00:00:00+05:30
2012-05-03 00:00:00+05:30,21.16,21.41,20.8,21.03,1078890,-0.015910154422086986,0.08850931677018647,0.0057388809182210565,-0.26699198326943185,-0.39429723502304137,-0.011887779362815043,0.33489281053209297,-0.11608826478437706,-1.1215114527163266,0.014848769854872155,0.024894257511109727,1.0,0.5165863,-0.044235644483069936,-1,2012-05-08 00:00:00+05:30
2012-05-08 00:00:00+05:30,20.86,21.16,19.79,20.12,1372392,-0.03269230769230769,-0.009354997538158383,-0.10458388963061849,-0.3172718018323718,-0.4132400116652085,-0.01739562624254476,0.14907969257148324,-0.11397754050986109,-1.052095340689764,0.01407064099644789,0.02458409661101725,1.0,0.54055476,-0.017548708049012943,-1,2012-05-09 00:00:00+05:30
2012-05-09 00:00:00+05:30,20.12,20.12,19.58,19.77,633105,-0.01739562624254476,0.004573170731707377,-0.10986042323277811,-0.31377993752169386,-0.4149156555193845,0.024785027819929306,0.009573881888634617,-0.17089237820500713,-1.0610948621286056,0.014554581945537652,0.02463349631683327,1.0,0.5178277,0.06889170299073478,1,2012-05-15 00:00:00+05:30
2012-05-10 00:00:00+05:30,19.77,20.38,19.7,20.26,1240530,0.024785027819929306,0.03737839221710182,-0.12218370883882135,-0.2878734622144111,-0.39213921392139206,0.000987166831194486,-0.02073158943355935,-0.18059392809967179,-1.048454815639662,0.015234680557516901,0.024731256264052093,1.0,0.52977127,0.04440884135272306,1,2012-05-15 00:00:00+05:30
