,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-13 00:00:00+05:30,82.5,84.55,81.2,81.65,3779711,-0.010902483343428138,-0.028554431885782217,0.33852459016393444,0.39931448157669247,-0.14278215223097102,0.015309246785058184,1.6984642864680524,2.3611537648079803,3.964724273702174,0.03627863328183759,0.03959097818296886,0.0,0.51819265,0.06518895254955577,1,2012-04-17 00:00:00+05:30
2012-04-16 00:00:00+05:30,80.6,83.4,80.35,82.9,1905421,0.015309246785058184,-0.028135990621336315,0.3403395311236863,0.3782211138819618,-0.14403717088280832,0.05126658624849223,1.7379596566678117,2.444383580422368,4.022042571494154,0.034509691845875004,0.03954428614602682,0.0,0.5218245,0.04999570982478071,1,2012-04-17 00:00:00+05:30
2012-04-17 00:00:00+05:30,83.15,87.95,82.55,87.15,9833392,0.05126658624849223,0.07659048795552814,0.3746056782334386,0.3944000000000001,-0.12937062937062926,0.0,2.3397681721144608,2.829617056636593,4.23969774697413,0.03530033407913658,0.03997668726750925,0.0,0.58960116,-0.046383424138866994,-1,2012-04-20 00:00:00+05:30
2012-04-20 00:00:00+05:30,85.55,86.9,82.15,83.2,4953009,-0.036479444122756166,0.1027170311464547,0.3143759873617695,0.2455089820359282,-0.09516041326808045,-0.0036057692307691624,2.4293724123396743,3.230961980023295,4.575280894365747,0.03337020633725568,0.039148239779691556,0.0,0.55246276,-0.03423317164224221,-1,2012-04-25 00:00:00+05:30
2012-04-25 00:00:00+05:30,81.4,83.0,78.95,80.4,7534379,-0.011070110701106861,0.03209242618741981,0.15186246418338123,0.2416988416988417,-0.11061946902654862,-0.013059701492537434,0.968216148282977,2.579993079364243,4.347886995114962,0.02895558785346537,0.03835096126587067,0.0,0.51820636,-0.03996726040706587,-1,2012-04-27 00:00:00+05:30
2012-04-27 00:00:00+05:30,79.85,81.15,76.7,77.25,3969122,-0.026465028355387443,0.020475561426684274,0.08956276445698164,0.17579908675799083,-0.14166666666666672,0.01229773462783168,-0.28627597687869866,1.7872286617905075,3.952829689097939,0.02876334078922342,0.03716267351830778,0.0,0.5345472,-0.032229030797423355,-1,2012-05-03 00:00:00+05:30
2012-05-03 00:00:00+05:30,77.1,77.1,74.45,74.8,4274700,-0.029201817001946795,-0.029201817001946795,0.09117432530999281,0.15076923076923077,-0.15718309859154933,-0.04211229946524053,-1.654350117655241,0.6076876310821007,3.252445745908588,0.023663745044192146,0.03585090381797856,0.0,0.53890437,-0.04302473070625058,-1,2012-05-04 00:00:00+05:30
2012-05-04 00:00:00+05:30,74.25,75.15,71.3,71.65,6957497,-0.04211229946524053,-0.11706715958102276,0.002799160251924393,0.034657039711191384,-0.2069728832318759,-0.011863224005582818,-2.4988678374652835,-0.05157030474542523,2.8494727353366613,0.02296522054531127,0.03626323472960148,0.0,0.56500924,-0.030466401703434537,-1,2012-05-09 00:00:00+05:30
2012-05-09 00:00:00+05:30,69.9,70.45,68.65,69.5,5555663,-0.012082444918265711,-0.1482843137254901,-0.09505208333333326,-0.002153625269203263,-0.19792267743796887,-0.015827338129496327,-4.083710700205529,-1.7653613276617648,1.6429845881764322,0.02026030180693161,0.03540149542799804,0.0,0.5185965,-0.019615594428204725,-1,2012-05-11 00:00:00+05:30
2012-05-11 00:00:00+05:30,67.65,69.55,66.3,68.15,3965860,-0.003654970760233911,-0.18039687312086594,-0.159679408138101,-0.07089297886843882,-0.1915776986951363,-0.021276595744680882,-4.686477535895079,-2.745524363203515,0.8338084017781284,0.02001562188554045,0.03376029932507739,0.0,0.5148851,-0.02150620522096362,-1,2012-05-14 00:00:00+05:30
2012-05-14 00:00:00+05:30,68.25,69.0,65.65,66.7,3012810,-0.021276595744680882,-0.19200484554815256,-0.18309859154929575,-0.12179065174456882,-0.19444444444444442,-0.002998500749625266,-4.971039373474426,-3.227760399633695,0.41253274407627316,0.02019163074926286,0.03350013438660702,0.0,0.52726024,-0.04837795528611502,-1,2012-05-16 00:00:00+05:30
2012-05-16 00:00:00+05:30,65.25,65.25,63.2,63.55,5320857,-0.044360902255639156,-0.23341375150784083,-0.23709483793517405,-0.14237516869095812,-0.2366366366366367,0.015735641227379915,-5.546174949494372,-4.190261564595843,-0.46596733732769735,0.014441925793547715,0.03380972622797996,0.0,0.57070374,-0.003941668485332528,-1,2012-05-30 00:00:00+05:30
2012-05-21 00:00:00+05:30,62.85,66.0,62.85,65.1,5157692,0.0268138801261828,-0.24609148812970472,-0.2576966932725201,-0.07462686567164178,-0.20609756097560983,-0.0007680491551458335,-5.463217808287226,-5.112764281141764,-1.5981784044697207,0.01743466093619249,0.033413001184823,0.0,0.53660583,-0.023311078868446997,-1,2012-05-23 00:00:00+05:30
2012-05-23 00:00:00+05:30,64.6,66.1,63.05,63.6,6103932,-0.02229054573405065,-0.232810615199035,-0.3179624664879357,-0.0479041916167664,-0.22815533980582525,0.011006289308175932,-5.099748552954011,-5.424233468142177,-2.206811663319499,0.017597337222879143,0.03080511481509514,0.0,0.52846044,-0.029519494837989962,-1,2012-05-31 00:00:00+05:30
2012-05-31 00:00:00+05:30,62.9,62.95,60.95,61.75,10556531,-0.024486571879936747,-0.19857235561323816,-0.22860712054965648,-0.14473684210526316,-0.1864295125164691,-0.012955465587044523,-4.074944704423892,-5.784036430695878,-3.6615287165918176,0.01748546930959361,0.029551089043224343,0.0,0.5314419,-0.03627767970677749,-1,2012-06-05 00:00:00+05:30
2012-06-05 00:00:00+05:30,61.75,62.05,59.15,59.55,5082388,-0.02457002457002455,-0.15889830508474578,-0.2365384615384616,-0.1618578465869106,-0.21541501976284594,0.05877413937867337,-4.173403392345492,-6.1116794477419845,-4.415168486402052,0.016316177582096986,0.028837208541564657,0.0,0.5315194,0.05711176660961945,1,2012-06-06 00:00:00+05:30
2012-06-06 00:00:00+05:30,59.7,63.35,59.7,63.05,11454784,0.05877413937867337,-0.10376687988628286,-0.144504748982361,-0.15312290127602424,-0.19373401534526857,0.011102299762093537,-3.6751947822220217,-5.93365498161738,-4.5141082671446355,0.022092499141667523,0.027694454158851103,0.0,0.61831963,0.06745852024283651,1,2012-06-13 00:00:00+05:30
2012-06-12 00:00:00+05:30,64.1,66.1,63.8,65.7,12366264,0.020979020979021046,-0.014992503748125885,-0.21175764847030587,-0.051263537906137135,-0.19088669950738912,0.026636225266362334,-1.7457567502799947,-4.871025388607421,-4.58991917053423,0.022573520389086135,0.02644272999339459,0.0,0.52817297,0.01360565205577846,1,2012-06-26 00:00:00+05:30
2012-06-13 00:00:00+05:30,65.55,68.15,65.55,67.45,9872824,0.026636225266362334,0.014285714285714235,-0.19750148720999394,0.049805447470817166,-0.16728395061728396,-0.04002965159377325,-1.0701776198473567,-4.41489458871024,-4.47027496333925,0.02080364541825831,0.026462197393296832,0.0,0.5364222,-0.040852882074117844,-1,2012-06-14 00:00:00+05:30
