,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2018-02-14 00:00:00+05:30,39.7,40.85,39.65,39.9,918240,0.013977128335451061,-0.007462686567164312,0.32999999999999985,0.2850241545893719,0.6659707724425887,-0.013784461152882121,0.18485990546680142,1.9921762332744137,3.654735298427717,0.022704332976892873,0.023422673220140276,1.0,0.5269149,-0.03182954886238677,-1,2018-02-16 00:00:00+05:30
2018-02-16 00:00:00+05:30,39.9,40.35,37.5,38.65,2038245,-0.017789072426937835,0.011780104712041828,0.314625850340136,0.26929392446633815,0.6171548117154813,-0.0064683053040103244,-0.00795005477414179,1.7243410950879081,3.5118357245549916,0.020684830833819338,0.02365620385124383,1.0,0.5372599,-0.03555344838366113,-1,2018-02-20 00:00:00+05:30
2018-02-20 00:00:00+05:30,40.0,40.0,37.1,37.3,891670,-0.02864583333333337,-0.0209973753280841,0.2601351351351351,0.20907617504051856,0.55741127348643,0.02680965147453085,-0.3942375493151786,1.3365547734520433,3.2851120070057007,0.016769193495834372,0.02407437991944566,1.0,0.554977,0.052231192225445734,1,2018-02-23 00:00:00+05:30
2018-02-21 00:00:00+05:30,37.8,38.45,37.35,38.3,510135,0.02680965147453085,-0.04488778054862852,0.3049403747870527,0.180277349768875,0.6126315789473682,-0.014360313315926798,-0.42448623097760674,1.2143423831018296,3.1979186976031144,0.016709341845939717,0.024250690379516274,1.0,0.5420392,-0.027797951361031754,-1,2018-03-06 00:00:00+05:30
2018-02-23 00:00:00+05:30,37.9,39.4,37.75,39.3,734715,0.041059602649006655,-0.06650831353919251,0.33220338983050834,0.2204968944099377,0.6512605042016806,-0.00254452926208637,-0.35323490951171266,1.0485671258556906,3.0521113878199415,0.018479128557007146,0.024532131940965138,1.0,0.5709893,-0.025774622688615252,-1,2018-02-27 00:00:00+05:30
2018-02-27 00:00:00+05:30,39.4,39.4,38.2,38.3,278025,-0.022959183673469497,-0.09026128266033262,0.25779967159277506,0.19874804381846634,0.5991649269311063,0.005221932114882533,-0.2897239337934394,0.928747327479762,2.927414665344763,0.018443799555681192,0.024786764519698,1.0,0.5444865,-0.027797951361031754,-1,2018-03-06 00:00:00+05:30
2018-03-05 00:00:00+05:30,37.9,38.1,37.5,37.7,351025,-0.01437908496732021,-0.0782396088019559,0.25249169435215957,0.22601626016260168,0.6285097192224625,-0.011936339522546469,-0.41230993867884536,0.6615036927769609,2.683131099917617,0.018064737826714142,0.024749823517231182,1.0,0.53174436,-0.02688333939344053,-1,2018-03-07 00:00:00+05:30
2018-03-07 00:00:00+05:30,37.05,37.7,36.45,36.7,362605,-0.014765100671140896,-0.07904642409033868,0.21122112211221133,0.16507936507936516,0.5887445887445888,0.027247956403269713,-0.6934068753038289,0.36647798702232137,2.445712492235721,0.01824813943244116,0.024845510848975405,1.0,0.53172004,-0.0054644944720788485,-1,2018-03-21 00:00:00+05:30
2018-03-08 00:00:00+05:30,37.1,37.85,37.05,37.7,368910,0.027247956403269713,-0.04314720812182726,0.23809523809523814,0.22402597402597402,0.649890590809628,-0.006631299734747964,-0.6514037800286232,0.30656562970301593,2.3658985035085465,0.019075084865341308,0.025030819544786132,1.0,0.54460764,-0.025521868795119466,-1,2018-03-12 00:00:00+05:30
2018-03-12 00:00:00+05:30,37.9,37.9,36.2,36.75,394935,-0.018691588785046842,-0.06010230179028131,0.22704507512520866,0.185483870967742,0.6628959276018098,-0.017687074829931926,-0.7290554789219641,0.11985222099911397,2.169198945134056,0.018688980431801637,0.02510083252884701,1.0,0.5369321,-0.030389078798540727,-1,2018-03-23 00:00:00+05:30
2018-03-14 00:00:00+05:30,36.05,36.7,35.4,36.1,2850880,0.0,-0.07435897435897432,0.18360655737704912,0.14240506329113933,0.6224719101123597,0.040166204986149534,-0.9527621703938749,-0.1534946342654635,1.9166725162130973,0.01842633737009519,0.02522323208001022,1.0,0.5124242,0.03938051287130846,1,2018-03-15 00:00:00+05:30
2018-03-15 00:00:00+05:30,36.3,37.85,35.85,37.55,698040,0.040166204986149534,-0.04574332909783996,0.24750830564784043,0.19206349206349205,0.7304147465437787,-0.02263648468708379,-0.7899291478871646,-0.14733596959495543,1.8597117241956838,0.020585681289287668,0.025664658031306454,1.0,0.5983357,-0.022896623149619065,-1,2018-03-16 00:00:00+05:30
2018-03-16 00:00:00+05:30,37.85,37.9,36.25,36.7,589110,-0.02263648468708379,-0.08020050125313272,0.22537562604340589,0.17252396166134187,0.7393364928909953,-0.013623978201634857,-0.7802587780421462,-0.2067222811542706,1.7709930802131595,0.020925918261939593,0.025838571408003847,1.0,0.5433116,-0.029027608200219792,-1,2018-03-23 00:00:00+05:30
2018-03-23 00:00:00+05:30,35.7,36.15,34.95,35.65,399175,-0.013831258644536604,-0.06919060052219317,0.12283464566929125,0.11755485893416928,0.6895734597156395,0.04488078541374474,-0.8742554473581876,-0.5437749795771296,1.2966860463882384,0.018950678032811048,0.023548683843443753,1.0,0.5276451,0.04390279796526357,1,2018-03-26 00:00:00+05:30
2018-03-26 00:00:00+05:30,35.55,37.9,35.55,37.25,679590,0.04488078541374474,-0.013245033112582738,0.0860058309037901,0.1658841940532081,0.677927927927928,-0.016107382550335614,-0.6741947999255018,-0.489056858801753,1.2634987045996553,0.019428210678863505,0.024166522536012234,1.0,0.63610446,0.015979035057889193,1,2018-04-11 00:00:00+05:30
2018-04-02 00:00:00+05:30,37.7,38.35,37.05,38.0,277735,0.018766756032171594,-0.007832898172323688,0.08571428571428563,0.25619834710743805,0.7002237136465324,0.007894736842105177,-0.23409035195842876,-0.33012089185201177,1.1818116156335705,0.020075481362165328,0.022302279318008326,1.0,0.53479475,0.02083408690284183,1,2018-04-16 00:00:00+05:30
2018-04-12 00:00:00+05:30,37.1,38.8,37.1,38.55,468945,0.018494055482166427,0.048979591836734615,-0.06996381182147182,0.25365853658536586,0.5864197530864197,0.011673151750972943,0.3280987472324881,0.1486994043151455,1.1747220541572787,0.018125209451213882,0.01972733818505459,1.0,0.53626436,-0.022296005555373224,-1,2018-04-20 00:00:00+05:30
2018-04-17 00:00:00+05:30,39.1,39.2,37.9,38.2,235410,-0.01546391752577303,0.017310252996005415,-0.048567870485678566,0.26280991735537196,0.4863813229571985,-0.007853403141361404,0.4308555327741743,0.3064792699011676,1.2103923805304788,0.01566933551658911,0.01915957778335814,1.0,0.53153765,0.03473017860113321,1,2018-05-02 00:00:00+05:30
2018-04-19 00:00:00+05:30,38.2,39.1,37.9,38.55,220975,0.01715039577836408,0.06491712707182296,-0.031407035175879394,0.3067796610169491,0.443820224719101,-0.02204928664072614,0.35669573718653425,0.31662806872841287,1.1913761451674887,0.015747626595801967,0.01877553617750176,1.0,0.5329113,-0.022296005555373224,-1,2018-04-20 00:00:00+05:30
2018-04-20 00:00:00+05:30,38.3,38.7,37.65,37.7,369850,-0.02204928664072614,0.04143646408839774,-0.01308900523560208,0.2736486486486487,0.3298059964726632,0.006631299734747964,0.24338987095504905,0.2760018201222536,1.1592581076874566,0.01667241815516055,0.017703526560234092,1.0,0.55046237,0.04790559975969764,1,2018-05-02 00:00:00+05:30
2018-04-26 00:00:00+05:30,38.25,39.05,38.2,38.35,268780,0.0013054830287206887,0.029530201342282014,-0.06917475728155342,0.30664395229982966,0.3479789103690687,-0.0026075619295958807,0.20114329657021557,0.2787152351721005,1.1107269876993726,0.012063667404035137,0.01694445235078326,1.0,0.5122412,0.052075257153839226,1,2018-05-03 00:00:00+05:30
2018-05-02 00:00:00+05:30,38.75,40.4,38.75,39.55,1315150,0.020645161290322456,0.04078947368421049,-0.060570071258907454,0.32274247491638786,0.4434306569343065,0.02149178255372952,0.40725139860680315,0.40975890425976047,1.147387856437014,0.011905925021162311,0.016939226397609166,1.0,0.5426209,0.08013995083012607,1,2018-05-04 00:00:00+05:30
2018-05-03 00:00:00+05:30,39.9,41.0,39.5,40.4,3360795,0.02149178255372952,0.05483028720626626,-0.019417475728155442,0.3602693602693603,0.45585585585585586,0.06064356435643581,0.630570933997717,0.5510089517401653,1.2155020453410046,0.012062595988522173,0.01700543090027292,1.0,0.54515254,0.05887586007668457,1,2018-05-04 00:00:00+05:30
