,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-13 00:00:00+05:30,151.3,156.65,150.35,151.45,4194062,0.007651363938788958,-0.12100986651189793,0.127699180938198,-0.03963221306277742,-0.39673371838279237,-0.00825354902608122,-6.911591465554892,-7.37493490887249,-5.172713570372565,0.029019215858084875,0.03588801882017878,0.0,0.511558,-0.029142909865854404,-1,2012-04-23 00:00:00+05:30
2012-04-17 00:00:00+05:30,150.35,155.8,150.35,155.05,2139352,0.03229027962716402,-0.0836288416075649,0.023770221195114072,-0.1347656249999999,-0.44674397859054416,0.006449532408900449,-5.711338233949903,-7.260557608741635,-5.639733170450114,0.02882049461770898,0.035982581557635014,0.0,0.53995067,-0.05263501793906618,-1,2012-04-23 00:00:00+05:30
2012-04-23 00:00:00+05:30,153.25,155.9,146.3,147.1,2323916,-0.05035506778566823,-0.12047832585949181,-0.04449496589801882,-0.19441401971522454,-0.4671255207389966,0.005778382053025055,-4.166645796363042,-6.6604288269152505,-6.1587478240628,0.029963674818522603,0.03659282630500756,0.0,0.57759064,-0.005795141495425973,-1,2012-05-08 00:00:00+05:30
2012-04-25 00:00:00+05:30,149.95,152.7,148.25,151.3,2928592,0.022642784724569376,-0.0714943234120895,-0.02071197411003234,-0.16593164277839023,-0.4208612440191387,-0.0033046926635822427,-4.238183704279834,-6.821995396174458,-6.623191167249246,0.028071842346382537,0.0356163919558961,0.0,0.5248376,-0.03360531276823161,-1,2012-05-04 00:00:00+05:30
2012-04-30 00:00:00+05:30,151.0,154.8,150.2,153.5,1957002,0.02916526986255441,-0.008718114304165248,-0.06913280776228026,-0.09652736904061221,-0.44514729803000175,-0.000977198697068471,-3.348303560387592,-6.4631267663119445,-6.961525729078858,0.026495261296400775,0.03189959379319396,0.0,0.53464895,-0.0480412590011731,-1,2012-05-04 00:00:00+05:30
2012-05-04 00:00:00+05:30,150.65,152.1,145.9,146.3,1928505,-0.04503916449086143,-0.07081613210543014,-0.19081858407079644,-0.13610865072335387,-0.46799999999999997,0.02016404647983583,-3.062249923335571,-6.158395936263304,-7.205634441234793,0.025280368952055546,0.03139191552462257,0.0,0.56453216,-0.03512793799952836,-1,2012-05-10 00:00:00+05:30
2012-05-09 00:00:00+05:30,144.75,145.45,141.45,142.95,2035256,-0.022564102564102684,-0.05892034233048071,-0.2574025974025974,-0.16598599766627786,-0.4697700296735906,-0.011892270024484008,-4.086288563958107,-6.682793077112194,-7.849587149476861,0.023905862164483337,0.031190984951392237,0.0,0.52268493,0.07963904238730608,1,2012-05-15 00:00:00+05:30
2012-05-11 00:00:00+05:30,140.15,146.1,138.55,144.75,1775706,0.024778761061946986,-0.0034423407917383297,-0.21395601411892484,-0.16522491349480972,-0.4383003492433062,0.013816925734024155,-4.616586263597782,-7.14585180536497,-8.374458847643126,0.0227431754437458,0.031089217250926525,0.0,0.5279311,0.06712584470252222,1,2012-05-15 00:00:00+05:30
2012-05-15 00:00:00+05:30,144.2,159.05,144.2,154.8,3909422,0.05485519591141408,0.02211951138989776,-0.19058823529411761,-0.09288016407852329,-0.3747980613893376,-0.01776485788113691,-2.623967866967405,-6.221943136147729,-8.174445355950724,0.02604370868232544,0.03127872934368678,0.0,0.59624213,-0.035506688456909866,-1,2012-05-22 00:00:00+05:30
2012-05-18 00:00:00+05:30,147.35,161.05,146.05,158.6,3838354,0.04617414248021112,0.016340916372957315,-0.22803601849598443,-0.031450381679389294,-0.38882466281310213,0.0009457755359394415,0.032729839283064166,-4.451681364555384,-7.491271588794518,0.027318150703169154,0.03150901512664977,0.0,0.571381,-0.05975803650203065,-1,2012-05-22 00:00:00+05:30
2012-05-22 00:00:00+05:30,160.05,160.9,148.7,149.4,3653294,-0.05889763779527557,-0.035506778566817276,-0.29760225669957685,-0.049920508744038083,-0.41111549073709097,-0.036813922356091044,0.42138920563553484,-3.6877065047666235,-7.106956674666549,0.027846336400625348,0.0318056729136988,0.0,0.6038968,-0.03750865880539481,-1,2012-05-23 00:00:00+05:30
2012-05-23 00:00:00+05:30,148.7,152.1,142.8,143.9,3180688,-0.036813922356091044,-0.021753908905506436,-0.2994157740993184,-0.03455216370345526,-0.43975082733112714,0.007991660875608098,-0.8147250226299718,-4.117420734022943,-7.323484147850365,0.029074915320298135,0.031688253326737185,0.0,0.54592127,0.02131397288541409,1,2012-06-06 00:00:00+05:30
2012-05-28 00:00:00+05:30,146.45,153.8,146.45,152.45,1522572,0.036722203332199665,0.01094164456233404,-0.19487721151307102,0.10471014492753605,-0.39695411392405067,-0.012135126270908403,-1.055569935887462,-4.013751395397065,-7.325270598157317,0.029906842494225833,0.028713666655221917,0.0,0.548938,-0.03504446713948793,-1,2012-06-01 00:00:00+05:30
2012-06-01 00:00:00+05:30,149.45,151.85,146.2,147.2,1533773,-0.03380374138496889,-0.03916449086161877,-0.17070422535211272,0.0013605442176869431,-0.3574858140549978,-0.02717391304347827,-0.8365982761602027,-3.48110545220797,-7.033174920829964,0.029177884956865827,0.02861802052979189,0.0,0.5403206,-0.03666962212877872,-1,2012-06-05 00:00:00+05:30
