trade_date,direction,entry_time,entry_price,exit_time,exit_price,position_frac,pnl_pct,z_score,exit_reason
2025-09-22,short,2025-09-22 09:16:00,25324.0,2025-09-22 09:19:00,25577.24,0.25,-0.00253,-1.214,stop_loss
2025-09-25,short,2025-09-25 09:16:00,25054.9,2025-09-25 09:16:00,25305.45,0.25,-0.00253,-1.1387,stop_loss
2025-09-26,short,2025-09-26 09:16:00,24878.5,2025-09-26 09:16:00,25127.28,0.25,-0.00253,-3.1258,stop_loss
2025-09-29,long,2025-09-29 09:16:00,24760.8,2025-09-29 15:00:00,24935.8,0.25,0.001737,2.8266,eod
2025-09-30,long,2025-09-30 09:16:00,24726.8,2025-09-30 15:00:00,24931.4,0.25,0.002038,1.4435,eod
2025-10-03,long,2025-10-03 09:16:00,24932.5,2025-10-03 15:00:00,25281.4,0.25,0.003468,2.6857,eod
2025-10-06,long,2025-10-06 09:16:00,25009.0,2025-10-06 15:00:00,25469.0,0.25,0.004568,1.2487,eod
2025-10-08,short,2025-10-08 09:16:00,25196.0,2025-10-08 09:16:00,25447.96,0.25,-0.00253,-2.2438,stop_loss
2025-11-10,long,2025-11-10 09:16:00,25677.0,2025-11-10 15:00:00,26070.0,0.25,0.003797,2.4032,eod
2025-11-14,short,2025-11-14 09:16:00,25907.3,2025-11-14 09:35:00,26166.37,0.25,-0.002529,-1.5385,stop_loss
2025-11-18,short,2025-11-18 09:16:00,25975.1,2025-11-18 09:16:00,26234.85,0.25,-0.002529,-1.4857,stop_loss
2025-11-21,short,2025-11-21 09:16:00,26141.5,2025-11-21 09:16:00,26402.92,0.25,-0.002529,-2.7599,stop_loss
2025-11-24,long,2025-11-24 09:16:00,26130.8,2025-11-24 15:00:00,26415.0,0.25,0.00269,2.4458,eod
2025-11-25,long,2025-11-25 09:16:00,25948.3,2025-11-25 15:00:00,26238.5,0.25,0.002767,1.1627,eod
2025-11-27,long,2025-11-27 09:16:00,26430.0,2025-11-27 15:00:00,26667.1,0.25,0.002214,1.03,eod
2025-12-01,short,2025-12-01 09:16:00,26465.0,2025-12-01 09:16:00,26729.65,0.25,-0.002528,-1.1553,stop_loss
2025-12-03,long,2025-12-03 09:16:00,26157.6,2025-12-03 15:00:00,26442.0,0.25,0.002689,1.4053,eod
2025-12-10,long,2025-12-10 09:16:00,25942.2,2025-12-10 15:00:00,26186.0,0.25,0.002321,1.8164,eod
2025-12-11,short,2025-12-11 09:16:00,25882.0,2025-12-11 12:03:00,26140.82,0.25,-0.002529,-1.7566,stop_loss
2025-12-15,short,2025-12-15 09:16:00,26051.4,2025-12-15 09:16:00,26311.91,0.25,-0.002529,-1.3635,stop_loss
2025-12-16,short,2025-12-16 09:16:00,26024.0,2025-12-16 09:16:00,26284.24,0.25,-0.002529,-1.8046,stop_loss
2025-12-26,long,2025-12-26 09:16:00,26108.8,2025-12-26 15:00:00,26368.2,0.25,0.002455,1.0777,eod
2025-12-29,long,2025-12-29 09:16:00,26072.9,2025-12-29 15:00:00,26257.7,0.25,0.001743,1.0022,eod
2026-01-14,long,2026-01-14 09:16:00,25730.0,2026-01-14 15:00:00,26056.7,0.25,0.003145,1.2708,eod
2026-01-19,short,2026-01-19 09:16:00,25595.0,2026-01-19 09:16:00,25850.95,0.25,-0.002529,-1.471,stop_loss
2026-01-21,short,2026-01-21 09:16:00,25228.5,2026-01-21 09:16:00,25480.78,0.25,-0.00253,-2.6136,stop_loss
2026-01-28,long,2026-01-28 09:16:00,25447.9,2026-01-28 15:00:00,25780.1,0.25,0.003234,1.7134,eod
2026-01-29,short,2026-01-29 09:16:00,25370.6,2026-01-29 13:03:00,25624.31,0.25,-0.00253,-1.7262,stop_loss
2026-01-30,short,2026-01-30 09:16:00,25370.8,2026-01-30 14:06:00,25624.51,0.25,-0.00253,-2.6054,stop_loss
2026-02-02,short,2026-02-02 09:16:00,24808.1,2026-02-02 13:51:00,25056.18,0.25,-0.00253,-3.269,stop_loss
2026-02-05,short,2026-02-05 09:16:00,25785.0,2026-02-05 09:16:00,26042.85,0.25,-0.002529,-1.4874,stop_loss
2026-02-06,short,2026-02-06 09:16:00,25664.0,2026-02-06 09:16:00,25920.64,0.25,-0.002529,-1.0446,stop_loss
