date,close,position,signal,fii_z,dii_z,fii_net_fut,daily_return,cumulative_return
2025-08-06,24574.2,0.0,warmup,,,-167091,0.0,1.0
2025-08-07,24596.15,0.0,no_data,,,-173259,0.0,1.0
2025-08-08,24363.3,0.0,no_data,,,-182670,-0.0,1.0
2025-08-11,24585.05,0.0,no_data,,,-179727,0.0,1.0
2025-08-12,24487.4,0.0,no_data,,,-185258,-0.0,1.0
2025-08-13,24619.35,0.0,no_data,,,-182757,0.0,1.0
2025-08-14,24631.3,0.0,no_data,,,-182879,0.0,1.0
2025-08-18,24876.95,0.0,no_data,,,-171324,0.0,1.0
2025-08-19,24980.65,0.0,no_data,,,-171531,0.0,1.0
2025-08-20,25050.55,0.0,no_data,,,-173192,0.0,1.0
2025-08-21,25083.75,0.0,no_data,,,-168050,0.0,1.0
2025-08-22,24870.1,0.0,no_data,,,-171509,-0.0,1.0
2025-08-25,24967.75,0.0,no_data,,,-170238,0.0,1.0
2025-08-26,24712.05,0.0,no_data,,,-176929,-0.0,1.0
2025-08-28,24500.9,0.0,no_data,,,-168514,-0.0,1.0
2025-08-29,24426.85,0.0,no_data,,,-175195,-0.0,1.0
2025-09-01,24625.05,0.0,no_data,,,-172547,0.0,1.0
2025-09-02,24579.6,0.0,no_data,,,-180425,-0.0,1.0
2025-09-03,24715.05,0.0,no_data,,,-182796,0.0,1.0
2025-09-04,24734.3,0.0,no_data,,,-188577,0.0,1.0
2025-09-05,24741.0,0.0,no_data,,,-191415,0.0,1.0
2025-09-08,24773.15,0.0,no_data,,,-191360,0.0,1.0
2025-09-09,24868.6,0.0,no_data,,,-189850,0.0,1.0
2025-09-10,24973.1,0.0,no_data,,,-186140,0.0,1.0
2025-09-11,25005.5,0.0,no_data,,,-182800,0.0,1.0
2025-09-12,25114.0,0.0,no_data,,,-172349,0.0,1.0
2025-09-15,25069.2,0.0,no_data,,,-171156,-0.0,1.0
2025-09-16,25239.1,0.0,no_data,,,-159561,0.0,1.0
2025-09-17,25330.25,0.0,no_data,,,-150660,0.0,1.0
2025-09-18,25423.6,0.0,no_data,,,-143659,0.0,1.0
2025-09-19,25327.05,0.0,no_data,,,-146773,-0.0,1.0
2025-09-22,25202.35,0.0,no_data,,,-144254,-0.0,1.0
2025-09-23,25169.5,0.0,no_data,,,-142178,-0.0,1.0
2025-09-24,25056.9,0.0,no_data,,,-145299,-0.0,1.0
2025-09-25,24890.85,0.0,no_data,,,-147886,-0.0,1.0
2025-09-26,24654.7,0.0,no_data,,,-166962,-0.0,1.0
2025-09-29,24634.9,0.0,no_data,,,-169584,-0.0,1.0
2025-09-30,24611.1,0.0,no_data,,,-176090,-0.0,1.0
2025-10-01,24836.3,0.0,no_data,,,-176910,0.0,1.0
2025-10-03,24894.25,0.0,no_data,,,-189496,0.0,1.0
2025-10-06,25077.65,0.0,no_data,,,-197578,0.0,1.0
2025-10-07,25108.3,0.0,no_data,,,-189530,0.0,1.0
2025-10-08,25046.15,0.0,no_data,,,-188676,-0.0,1.0
2025-10-09,25181.8,0.0,no_data,,,-185810,0.0,1.0
2025-10-10,25285.35,0.0,no_data,,,-181339,0.0,1.0
2025-10-13,25227.35,0.0,no_data,,,-185709,-0.0,1.0
2025-10-14,25145.5,0.0,no_data,,,-194380,-0.0,1.0
2025-10-15,25323.55,0.0,no_data,,,-189115,0.0,1.0
2025-10-16,25585.3,0.0,no_data,,,-162938,0.0,1.0
2025-10-17,25709.85,0.0,no_data,,,-142520,0.0,1.0
2025-10-20,25843.15,0.0,no_data,,,-137328,0.0,1.0
2025-10-21,25868.6,0.0,no_data,,,-137029,0.0,1.0
2025-10-23,25891.4,0.0,no_data,,,-113511,0.0,1.0
2025-10-24,25795.15,0.0,no_data,,,-106547,-0.0,1.0
2025-10-27,25966.05,0.0,no_data,,,-107632,0.0,1.0
2025-10-28,25936.2,0.0,no_data,,,-92166,-0.0,1.0
2025-10-29,26053.9,0.0,no_data,,,-98314,0.0,1.0
2025-10-30,25877.85,0.0,no_data,,,-110448,-0.0,1.0
2025-10-31,25722.1,0.0,no_data,,,-118673,-0.0,1.0
2025-11-03,25763.35,0.5199152801139021,fii_long,1.5597,-0.26,-124827,-6.054e-05,0.999939
2025-11-04,25597.65,0.0,below_threshold|signal_exit,1.0872,-0.3787,-135218,-0.00340483,0.996535
2025-11-06,25509.7,0.0,below_threshold,0.7545,-0.2397,-137854,-0.0,0.996535
2025-11-07,25492.3,0.0,below_threshold,0.3769,0.3405,-152091,-0.0,0.996535
2025-11-10,25574.35,0.0,below_threshold,0.2571,0.2816,-156707,0.0,0.996535
2025-11-11,25694.95,0.0,below_threshold,0.4627,0.4463,-159830,0.0,0.996535
2025-11-12,25875.8,0.0,below_threshold,0.8358,1.632,-162240,0.0,0.996535
2025-11-13,25879.15,0.0,below_threshold,0.5541,0.908,-159947,0.0,0.996535
