date,position,signal,regime,confidence,daily_return,cumulative_return
2025-12-04,0.0,neutral_flat,NEUTRAL,0.9997,0.0,1.0
2025-12-05,0.0,regime_flip,BULL,0.9379,0.0,1.0
2025-12-08,0.0,regime_flip,NEUTRAL,0.9858,-0.0,1.0
2025-12-09,0.0,regime_flip,BULL,0.7962,-0.0,1.0
2025-12-10,0.0,low_confidence,BEAR,0.5985,-0.0,1.0
2025-12-11,-0.4841009178870749,bear_short,BEAR,0.9682,-0.002634,0.997366
2025-12-12,0.0,regime_flip,BULL,0.957,0.0,0.997366
2025-12-15,0.0,regime_flip,NEUTRAL,0.9388,-0.0,0.997366
2025-12-16,0.0,regime_flip,BULL,0.8934,-0.0,0.997366
2025-12-17,0.0,regime_flip,NEUTRAL,0.705,-0.0,0.997366
2025-12-18,0.0,regime_flip,BULL,0.8425,-0.0,0.997366
2025-12-19,0.0,regime_flip,NEUTRAL,0.7243,0.0,0.997366
2025-12-22,0.0,regime_flip,BULL,0.8584,0.0,0.997366
2025-12-23,0.0,regime_flip,NEUTRAL,0.6406,0.0,0.997366
2025-12-24,0.0,low_confidence,NEUTRAL,0.555,-0.0,0.997366
2025-12-26,0.0,neutral_flat,NEUTRAL,0.645,-0.0,0.997366
2025-12-29,0.0,regime_flip,BULL,0.6852,-0.0,0.997366
2025-12-30,0.0,low_confidence,NEUTRAL,0.5479,-0.0,0.997366
2025-12-31,0.0,regime_flip,BEAR,0.7824,0.0,0.997366
2026-01-01,0.0,regime_flip,BULL,0.8261,0.0,0.997366
2026-01-02,0.0,regime_flip,BEAR,0.9969,0.0,0.997366
2026-01-05,0.0,regime_flip,NEUTRAL,0.9947,-0.0,0.997366
2026-01-06,0.0,regime_flip,BEAR,0.9619,-0.0,0.997366
2026-01-07,0.0,regime_flip,NEUTRAL,0.9923,-0.0,0.997366
2026-01-08,0.0,regime_flip,BEAR,0.9978,-0.0,0.997366
2026-01-09,0.0,regime_flip,NEUTRAL,0.9996,-0.0,0.997366
2026-01-12,0.0,regime_flip,BEAR,0.9997,0.0,0.997366
2026-01-13,0.0,regime_flip,NEUTRAL,0.9998,-0.0,0.997366
2026-01-14,0.0,regime_flip,BEAR,0.9999,-0.0,0.997366
2026-01-16,0.0,regime_flip,NEUTRAL,0.9998,0.0,0.997366
2026-01-19,0.0,regime_flip,BEAR,0.9999,-0.0,0.997366
2026-01-20,0.0,regime_flip,NEUTRAL,0.9996,-0.0,0.997366
2026-01-21,0.0,regime_flip,BEAR,0.9997,-0.0,0.997366
2026-01-22,0.0,regime_flip,NEUTRAL,0.9904,0.0,0.997366
2026-01-23,0.0,regime_flip,BEAR,0.9965,-0.0,0.997366
2026-01-27,0.0,regime_flip,NEUTRAL,0.9487,0.0,0.997366
2026-01-28,0.0,regime_flip,BEAR,0.9866,0.0,0.997366
2026-01-29,0.0,regime_flip,NEUTRAL,0.9602,0.0,0.997366
2026-01-30,0.0,regime_flip,BEAR,0.993,-0.0,0.997366
2026-02-02,0.0,regime_flip,NEUTRAL,0.916,-0.0,0.997366
2026-02-03,0.0,regime_flip,BEAR,1.0,0.0,0.997366
2026-02-04,-0.5,bear_short,BEAR,1.0,-0.000941,0.996427
2026-02-05,-0.5,bear_short,BEAR,1.0,0.00259,0.999009
2026-02-06,-0.5,bear_short,BEAR,1.0,-0.000991,0.998018
