date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,exit_reason,sub_strategy,combined_score,bars_held
2024-10-29,2024-10-29 10:46:00,2024-10-29 11:45:00,-1,24181.0,24269.76220703125,-91.76220703125,stop_loss,orb,-0.5,59
2024-11-07,2024-11-07 10:00:00,2024-11-07 11:00:00,-1,24356.150390625,24352.44921875,0.701171875,max_hold,orb,-0.5,60
2024-11-08,2024-11-08 09:25:00,2024-11-08 09:45:00,1,24238.849609375,24311.3984375,69.548828125,target,momentum,0.5,20
2024-11-11,2024-11-11 10:28:00,2024-11-11 11:13:00,1,24293.80078125,24380.451171875,83.650390625,target,orb,0.5,45
2024-11-12,2024-11-12 09:59:00,2024-11-12 10:03:00,1,24314.0,24227.19921875,-89.80078125,stop_loss,momentum,0.5,4
2024-11-13,2024-11-13 09:47:00,2024-11-13 09:52:00,-1,23794.099609375,23857.099609375,-66.0,stop_loss,orb,-0.5,5
2024-11-22,2024-11-22 09:22:00,2024-11-22 09:51:00,1,23519.0,23436.55078125,-85.44921875,stop_loss,momentum,0.5,29
2024-11-22,2024-11-22 10:03:00,2024-11-22 10:33:00,1,23584.099609375,23577.69921875,-9.400390625,max_hold,momentum,0.5,30
2024-11-28,2024-11-28 10:34:00,2024-11-28 10:38:00,-1,24390.150390625,24315.150390625,72.0,target,orb,-0.5,4
2024-11-28,2024-11-28 10:38:00,2024-11-28 11:08:00,-1,24295.94921875,24262.69921875,30.25,max_hold,momentum,-0.5,30
2024-11-28,2024-11-28 14:12:00,2024-11-28 14:13:00,-1,24145.5,24064.0,78.5,target,momentum,-0.5,1
2024-11-29,2024-11-29 10:33:00,2024-11-29 11:33:00,1,24268.0,24279.099609375,8.099609375,max_hold,orb,1.0,60
2024-12-02,2024-12-02 10:15:00,2024-12-02 10:45:00,1,24330.0,24280.900390625,-52.099609375,max_hold,momentum,0.5,30
2024-12-04,2024-12-04 11:55:00,2024-12-04 11:57:00,-1,24540.05078125,24456.90234375,80.1484375,target,momentum,-0.5,2
2024-12-05,2024-12-05 09:49:00,2024-12-05 10:49:00,-1,24509.25,24508.05078125,-1.80078125,max_hold,orb,-0.5,60
2024-12-05,2024-12-05 10:58:00,2024-12-05 11:28:00,-1,24422.099609375,24447.05078125,-27.951171875,max_hold,momentum,-0.5,30
2024-12-05,2024-12-05 12:06:00,2024-12-05 12:11:00,1,24583.30078125,24676.6015625,90.30078125,target,momentum,0.5,5
2024-12-06,2024-12-06 10:07:00,2024-12-06 10:22:00,-1,24716.5,24817.400390625,-103.900390625,stop_loss,momentum,-0.5,15
2024-12-06,2024-12-06 10:22:00,2024-12-06 10:52:00,1,24800.5,24794.0,-9.5,max_hold,momentum,0.5,30
2024-12-09,2024-12-09 10:04:00,2024-12-09 10:46:00,-1,24670.5,24717.7119140625,-50.2119140625,stop_loss,orb,-0.5,42
2024-12-10,2024-12-10 09:59:00,2024-12-10 10:10:00,1,24759.0,24726.30029296875,-35.69970703125,stop_loss,orb,0.5,11
2024-12-11,2024-12-11 10:00:00,2024-12-11 10:19:00,1,24723.150390625,24694.76318359375,-31.38720703125,stop_loss,orb,0.5,19
2024-12-12,2024-12-12 10:09:00,2024-12-12 11:09:00,-1,24702.30078125,24678.94921875,20.3515625,max_hold,orb,-0.5,60
2024-12-13,2024-12-13 10:16:00,2024-12-13 11:16:00,-1,24354.849609375,24335.0,16.849609375,max_hold,orb,-0.5,60
2024-12-13,2024-12-13 11:56:00,2024-12-13 11:59:00,1,24516.0,24592.0,73.0,target,momentum,0.5,3
2024-12-13,2024-12-13 11:59:00,2024-12-13 12:29:00,1,24609.349609375,24637.19921875,24.849609375,max_hold,momentum,0.5,30
2024-12-20,2024-12-20 09:47:00,2024-12-20 09:49:00,-1,23995.55078125,23907.1015625,85.44921875,target,momentum,-0.5,2
2024-12-20,2024-12-20 09:50:00,2024-12-20 10:08:00,-1,23911.75,23838.75,70.0,target,orb,-0.5,18
2024-12-24,2024-12-24 09:33:00,2024-12-24 09:45:00,-1,23726.5,23761.67529296875,-38.17529296875,stop_loss,orb,-0.5,12
2024-12-24,2024-12-24 10:00:00,2024-12-24 10:18:00,1,23822.400390625,23869.30078125,43.900390625,target,orb,0.5,18
