date,target_price,position,signal,net_score,breadth,diffusion,composite,z_score,vix,n_edges,n_leaders,consec_long,consec_short,daily_return,cumulative_return
2025-08-07,24596.15,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.96,0,0,0,0,0.0,1.0
2025-08-08,24363.3,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.69,0,0,0,0,-0.0,1.0
2025-08-11,24585.05,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.03,0,0,0,0,0.0,1.0
2025-08-12,24487.4,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.22,0,0,0,0,-0.0,1.0
2025-08-13,24619.35,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.23,0,0,0,0,0.0,1.0
2025-08-14,24631.3,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.14,0,0,0,0,0.0,1.0
2025-08-18,24876.95,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.36,0,0,0,0,0.0,1.0
2025-08-19,24980.65,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.34,0,0,0,0,0.0,1.0
2025-08-20,25050.55,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.79,0,0,0,0,0.0,1.0
2025-08-21,25083.75,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.79,0,0,0,0,0.0,1.0
2025-08-22,24870.1,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.37,0,0,0,0,-0.0,1.0
2025-08-25,24967.75,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.73,0,0,0,0,0.0,1.0
2025-08-26,24712.05,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.76,0,0,0,0,-0.0,1.0
2025-08-28,24500.9,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.19,0,0,0,0,-0.0,1.0
2025-08-29,24426.85,0.0,hold,0.0,0.0,0.0,0.0,0.0,12.18,0,0,0,0,-0.0,1.0
2025-09-01,24625.05,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.75,0,0,0,0,0.0,1.0
2025-09-02,24579.6,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.29,0,0,0,0,-0.0,1.0
2025-09-03,24715.05,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.4,0,0,0,0,0.0,1.0
2025-09-04,24734.3,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.93,0,0,0,0,0.0,1.0
2025-09-05,24741.0,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.85,0,0,0,0,0.0,1.0
2025-09-08,24773.15,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.78,0,0,0,0,0.0,1.0
2025-09-09,24868.6,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.84,0,0,0,0,0.0,1.0
2025-09-10,24973.1,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.69,0,0,0,0,0.0,1.0
2025-09-11,25005.5,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.54,0,0,0,0,0.0,1.0
2025-09-12,25114.0,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.36,0,0,0,0,0.0,1.0
2025-09-15,25069.2,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.12,0,0,0,0,-0.0,1.0
2025-09-16,25239.1,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.4,0,0,0,0,0.0,1.0
2025-09-17,25330.25,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.27,0,0,0,0,0.0,1.0
2025-09-18,25423.6,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.25,0,0,0,0,0.0,1.0
2025-09-19,25327.05,0.0,hold,0.0,0.0,0.0,0.0,0.0,9.89,0,0,0,0,-0.0,1.0
2025-09-22,25202.35,0.0,hold,0.0,0.0,0.0,0.0,0.0,9.97,0,0,0,0,-0.0,1.0
2025-09-23,25169.5,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.56,0,0,0,0,-0.0,1.0
2025-09-24,25056.9,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.63,0,0,0,0,-0.0,1.0
2025-09-25,24890.85,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.52,0,0,0,0,-0.0,1.0
2025-09-26,24654.7,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.78,0,0,0,0,-0.0,1.0
2025-09-29,24634.9,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.43,0,0,0,0,-0.0,1.0
2025-09-30,24611.1,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.37,0,0,0,0,-0.0,1.0
2025-10-01,24836.3,0.0,hold,0.0,0.0,0.0,0.0,0.0,11.07,0,0,0,0,0.0,1.0
2025-10-03,24894.25,0.0,hold,0.0,0.0,0.0,0.0,0.0,10.29,0,0,0,0,0.0,1.0
2025-10-06,25077.65,0.0,hold,0.00775,-0.0435,0.004565,-0.008256,-6.1664,10.06,16,16,0,1,0.0,1.0
2025-10-07,25108.3,0.0,hold,0.008582,1.0,0.005171,0.305325,6.2447,10.19,16,16,1,0,0.0,1.0
2025-10-08,25046.15,1.0,long_entry,0.003043,0.913,0.002282,0.275891,4.1773,10.05,16,16,2,0,-0.002544,0.997456
2025-10-09,25181.8,1.0,hold,0.004396,0.6522,-0.000925,0.197665,2.6402,10.31,16,16,3,0,0.005401,1.002844
2025-10-10,25285.35,1.0,hold,-0.001826,0.7391,-0.00095,0.220636,2.6808,10.12,16,16,4,0,0.004104,1.006959
2025-10-13,25227.35,1.0,hold,-0.004554,0.5652,0.001015,0.167491,1.8605,10.1,16,16,5,0,-0.002296,1.004647
2025-10-14,25145.5,1.0,hold,0.00436,0.3043,0.002442,0.093973,0.8781,11.01,16,16,6,0,-0.00325,1.001382
2025-10-15,25323.55,0.0,exit_signal_decay,0.005084,-0.2174,-0.000116,-0.062699,-1.1535,11.16,16,16,0,1,0.0,1.001382
2025-10-16,25585.3,0.0,hold,-0.003337,0.8261,-0.001391,0.245879,2.636,10.53,16,16,1,0,0.0,1.001382
2025-10-17,25709.85,1.0,long_entry,-0.003828,0.6522,0.000807,0.1939,1.9036,10.87,16,16,2,0,0.004791,1.00618
2025-10-20,25843.15,1.0,hold,0.007132,0.6522,-0.002207,0.198777,1.87,11.63,8,8,3,0,0.005171,1.011383
2025-10-21,25868.6,1.0,hold,-0.003558,0.7391,-0.000306,0.219899,2.0054,11.36,8,8,4,0,0.000984,1.012379
2025-10-23,25891.4,1.0,hold,-0.000417,0.913,0.000736,0.273851,2.426,11.3,8,8,5,0,0.000881,1.01327
2025-10-24,25795.15,1.0,hold,-0.001156,1.0,0.000913,0.299605,2.5039,11.73,8,8,6,0,-0.003724,1.009497
2025-10-27,25966.05,1.0,hold,-0.004598,0.8261,-0.000634,0.2454,1.8765,11.59,8,8,7,0,0.006603,1.016163
