param,value,target,start_date,end_date,total_days,active_days,exposure_pct,total_return_pct,annual_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,n_trades,win_rate_pct,avg_trade_pnl_pct,avg_hold_days,best_trade_pct,worst_trade_pct,profit_factor
signal_threshold,0.3,Nifty 50,2025-08-07,2026-02-06,124,61,49.2,-2.96,-5.92,-0.88,-7.44,0.796,14,42.9,0.1077,3.9,2.8625,-2.4638,1.247
signal_threshold,0.5,Nifty 50,2025-08-07,2026-02-06,124,58,46.8,-2.8,-5.61,-0.85,-7.29,0.77,14,50.0,0.1603,3.7,2.8625,-1.9054,1.405
signal_threshold,0.6,Nifty 50,2025-08-07,2026-02-06,124,58,46.8,-2.8,-5.61,-0.85,-7.29,0.77,14,50.0,0.1603,3.7,2.8625,-1.9054,1.405
signal_threshold,0.75,Nifty 50,2025-08-07,2026-02-06,124,48,38.7,-4.61,-9.14,-1.842,-6.54,1.398,13,46.2,0.0767,3.5,2.8625,-1.9054,1.16
signal_threshold,1.0,Nifty 50,2025-08-07,2026-02-06,124,46,37.1,-3.12,-6.24,-1.289,-5.08,1.228,11,54.5,0.1005,4.0,2.8625,-1.9054,1.181
signal_threshold,1.25,Nifty 50,2025-08-07,2026-02-06,124,39,31.5,-1.25,-2.53,-0.494,-4.96,0.51,10,50.0,0.2055,3.9,2.1512,-1.9054,1.529
confirmation_bars,1.0,Nifty 50,2025-08-07,2026-02-06,124,64,51.6,-3.62,-7.21,-1.044,-7.69,0.938,16,37.5,0.1146,3.6,2.8625,-2.173,1.292
confirmation_bars,2.0,Nifty 50,2025-08-07,2026-02-06,124,58,46.8,-2.8,-5.61,-0.85,-7.29,0.77,14,50.0,0.1603,3.7,2.8625,-1.9054,1.405
confirmation_bars,3.0,Nifty 50,2025-08-07,2026-02-06,124,37,29.8,-0.46,-0.93,-0.172,-4.15,0.225,11,54.5,0.0766,3.3,2.1512,-1.763,1.225
confirmation_bars,4.0,Nifty 50,2025-08-07,2026-02-06,124,26,21.0,-0.91,-1.84,-0.449,-3.42,0.538,8,50.0,0.1269,3.2,1.2449,-0.761,1.631
exit_threshold,0.0,Nifty 50,2025-08-07,2026-02-06,124,59,47.6,-2.27,-4.56,-0.674,-6.78,0.672,14,50.0,0.1988,3.8,2.8625,-1.9054,1.502
exit_threshold,0.1,Nifty 50,2025-08-07,2026-02-06,124,59,47.6,-2.27,-4.56,-0.674,-6.78,0.672,14,50.0,0.1988,3.8,2.8625,-1.9054,1.502
exit_threshold,0.2,Nifty 50,2025-08-07,2026-02-06,124,58,46.8,-2.8,-5.61,-0.85,-7.29,0.77,14,50.0,0.1603,3.7,2.8625,-1.9054,1.405
exit_threshold,0.3,Nifty 50,2025-08-07,2026-02-06,124,58,46.8,-2.8,-5.61,-0.85,-7.29,0.77,14,50.0,0.1603,3.7,2.8625,-1.9054,1.405
exit_threshold,0.5,Nifty 50,2025-08-07,2026-02-06,124,52,41.9,-6.12,-12.04,-2.581,-7.79,1.545,16,50.0,0.0388,3.1,2.1496,-1.9054,1.088
