date,symbol,token,tradingsymbol,n_ticks,n_trades,daily_pnl,status
2024-10-29,BANKNIFTY,8961538,BANKNIFTY24OCTFUT,13301,12,-83.19140625,ok
2024-10-30,BANKNIFTY,8961538,BANKNIFTY24OCTFUT,11533,3,-5.59765625,ok
2024-10-31,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-04,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-05,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-06,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-07,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-08,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-11,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-12,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-13,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-14,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,12659,6,-78.5,ok
2024-11-18,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,11385,0,0.0,ok
2024-11-19,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,13318,2,-69.44921875,ok
2024-11-21,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,12747,6,-19.6484375,ok
2024-11-22,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-25,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-26,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-27,BANKNIFTY,8963330,BANKNIFTY24NOVFUT,0,0,0.0,insufficient_ticks
2024-11-28,BANKNIFTY,8966402,BANKNIFTY24DECFUT,0,0,0.0,insufficient_ticks
2024-11-29,BANKNIFTY,8966402,BANKNIFTY24DECFUT,11479,6,-138.49609375,ok
2024-12-02,BANKNIFTY,8966402,BANKNIFTY24DECFUT,12302,3,-13.49609375,ok
2024-12-03,BANKNIFTY,8966402,BANKNIFTY24DECFUT,12270,2,-52.55078125,ok
2024-12-04,BANKNIFTY,8966402,BANKNIFTY24DECFUT,13652,2,-61.0,ok
2024-12-05,BANKNIFTY,8966402,BANKNIFTY24DECFUT,13313,5,121.8046875,ok
2024-12-06,BANKNIFTY,8966402,BANKNIFTY24DECFUT,12060,5,-106.59765625,ok
2024-12-09,BANKNIFTY,8966402,BANKNIFTY24DECFUT,10994,3,-78.34765625,ok
2024-12-10,BANKNIFTY,8966402,BANKNIFTY24DECFUT,8674,5,-77.55078125,ok
2024-12-11,BANKNIFTY,8966402,BANKNIFTY24DECFUT,10326,2,-13.90234375,ok
2024-12-12,BANKNIFTY,8966402,BANKNIFTY24DECFUT,9420,0,0.0,ok
2024-12-13,BANKNIFTY,8966402,BANKNIFTY24DECFUT,16385,9,144.59765625,ok
2024-12-16,BANKNIFTY,8966402,BANKNIFTY24DECFUT,8470,6,88.6015625,ok
2024-12-17,BANKNIFTY,8966402,BANKNIFTY24DECFUT,14143,7,-49.09765625,ok
2024-12-18,BANKNIFTY,8966402,BANKNIFTY24DECFUT,12138,0,0.0,ok
2024-12-19,BANKNIFTY,8966402,BANKNIFTY24DECFUT,12871,5,-84.55078125,ok
2024-12-20,BANKNIFTY,8966402,BANKNIFTY24DECFUT,0,0,0.0,insufficient_ticks
2024-12-23,BANKNIFTY,8966402,BANKNIFTY24DECFUT,0,0,0.0,insufficient_ticks
2024-12-24,BANKNIFTY,8966402,BANKNIFTY24DECFUT,0,0,0.0,insufficient_ticks
2024-12-26,BANKNIFTY,8963074,BANKNIFTY25JANFUT,0,0,0.0,insufficient_ticks
2024-12-27,BANKNIFTY,8963074,BANKNIFTY25JANFUT,8854,2,33.0,ok
2024-12-30,BANKNIFTY,8963074,BANKNIFTY25JANFUT,14590,8,-93.25,ok
