date,symbol,tradingsymbol,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,exit_reason,hold_seconds,vpin_at_entry,ofi_at_entry,kyle_at_entry
2024-10-29,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-29 11:40:49,2024-10-29 11:45:49,1,51667.05078125,51725.55078125,53.5,time_exit,300.0,0.6874899630640758,0.4396279069767442,0.0013919471874471597
2024-10-29,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-29 12:22:53,2024-10-29 12:24:14,1,51778.19921875,51728.0,-55.19921875,stop_loss,81.0,0.6885179153094463,0.2643573381950775,0.006596131914100322
2024-10-29,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-29 13:48:38,2024-10-29 13:50:51,1,51866.6484375,51810.05078125,-61.59765625,stop_loss,133.0,0.8313874147081122,0.15555555555555556,0.001203273378871591
2024-10-29,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-29 14:01:30,2024-10-29 14:06:31,1,51930.0,52177.3515625,242.3515625,time_exit,301.0,0.7027914614121511,0.20315299175922608,0.0028465947533590176
2024-10-29,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-29 14:07:31,2024-10-29 14:12:32,1,52167.1015625,52183.05078125,10.94921875,time_exit,301.0,0.793579565067311,0.29146958081878976,0.0021417043064043254
2024-10-29,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-29 14:37:16,2024-10-29 14:42:16,1,52260.0,52240.0,-25.0,time_exit,300.0,0.7181673652261887,0.16476841305998483,0.008555953523614351
2024-10-30,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-30 10:38:55,2024-10-30 10:43:56,1,51874.75,51900.0,20.25,time_exit,301.0,0.6950009023641942,0.37361702127659574,0.002608750962851185
2024-10-30,BANKNIFTY,BANKNIFTY24OCTFUT,2024-10-30 15:11:18,2024-10-30 15:15:00,1,51802.44921875,51791.55078125,-15.8984375,eod_close,222.0,0.6810376324442821,0.1861244019138756,0.0015683935612711794
2024-11-14,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-14 10:04:31,2024-11-14 10:04:56,1,50722.44921875,50670.0,-57.44921875,stop_loss,25.0,0.7282470481380563,0.46051800379027164,0.004530588698104783
2024-11-14,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-14 10:05:56,2024-11-14 10:07:12,1,50710.0,50660.0,-55.0,stop_loss,76.0,0.6887430005792624,0.3711665233591287,0.004998105903998202
2024-11-14,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-14 12:53:02,2024-11-14 12:58:04,1,50438.55078125,50381.1484375,-62.40234375,stop_loss,302.0,0.7595121304520748,0.7557373777689084,0.00022063280044307102
2024-11-14,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-14 14:17:15,2024-11-14 14:22:19,1,50260.05078125,50232.0,-33.05078125,time_exit,304.0,0.7245316159250585,0.5809786354238456,0.00013270805683613098
2024-11-14,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-14 14:30:44,2024-11-14 14:32:17,1,50283.75,50286.30078125,-2.44921875,ofi_reversal,93.0,0.7318049993094876,0.1574642126789366,0.01914507797843052
2024-11-19,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-19 09:40:23,2024-11-19 09:45:23,1,50824.80078125,50898.55078125,68.75,time_exit,300.0,0.7530829596412556,0.15990602975724355,0.0017073798371864404
2024-11-21,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-21 09:59:48,2024-11-21 10:00:32,1,50008.44921875,49954.30078125,-59.1484375,stop_loss,44.0,0.7148236905169463,0.3932103715584068,0.0024209339312847022
2024-11-21,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-21 10:04:27,2024-11-21 10:09:29,1,50030.0,50124.30078125,89.30078125,time_exit,302.0,0.8123617739494821,0.6221807698829913,0.0001784106568590739
2024-11-21,BANKNIFTY,BANKNIFTY24NOVFUT,2024-11-21 12:00:00,2024-11-21 12:05:00,1,50476.5,50583.3984375,101.8984375,time_exit,300.0,0.682258064516129,0.3053803339517625,0.0061392060361060525
2024-11-29,BANKNIFTY,BANKNIFTY24DECFUT,2024-11-29 10:23:04,2024-11-29 10:24:35,1,52158.1484375,52145.69921875,-17.44921875,ofi_reversal,91.0,0.6946763123724726,0.2814628899247042,0.0042354322838195416
2024-11-29,BANKNIFTY,BANKNIFTY24DECFUT,2024-11-29 12:08:14,2024-11-29 12:09:45,1,52163.94921875,52172.0,3.05078125,ofi_reversal,91.0,0.6804425642694435,0.2,0.004416063007910825
2024-11-29,BANKNIFTY,BANKNIFTY24DECFUT,2024-11-29 12:11:10,2024-11-29 12:16:10,1,52180.0,52178.1484375,-6.8515625,time_exit,300.0,0.6821104699093158,0.20352422907488987,0.0057325883250381095
2024-11-29,BANKNIFTY,BANKNIFTY24DECFUT,2024-11-29 14:00:33,2024-11-29 14:02:51,1,52429.0,52375.0,-59.0,stop_loss,138.0,0.7465703971119133,0.31805157593123207,0.004681931130395432
2024-11-29,BANKNIFTY,BANKNIFTY24DECFUT,2024-11-29 14:03:53,2024-11-29 14:08:53,1,52377.44921875,52372.19921875,-10.25,time_exit,300.0,0.6895693779904306,0.17342799188640973,0.00536177757084087
2024-12-02,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-02 14:05:01,2024-12-02 14:10:01,1,52323.8984375,52315.1484375,-13.75,time_exit,300.0,0.68025866714568,0.32083916083916086,0.004290576681762681
2024-12-02,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-02 14:19:42,2024-12-02 14:24:43,1,52382.8984375,52387.55078125,-0.34765625,time_exit,301.0,0.6817281728172817,0.3129425092041914,0.0031260859119263003
2024-12-02,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-02 14:41:04,2024-12-02 14:46:04,1,52485.1484375,52484.69921875,-5.44921875,time_exit,300.0,0.6887862242755145,0.15963606286186932,0.013722431919004192
2024-12-03,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-03 09:33:05,2024-12-03 09:38:05,1,52639.0,52660.3515625,16.3515625,time_exit,300.0,0.7891583452211127,0.2370824812542604,0.0016399066361899247
2024-12-04,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-04 13:33:37,2024-12-04 13:38:37,1,53395.0,53424.44921875,24.44921875,time_exit,300.0,0.7027876755397191,0.4611041405269762,0.00461224753760696
2024-12-05,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-05 12:06:50,2024-12-05 12:11:50,1,53427.3984375,53580.0,147.6015625,time_exit,300.0,0.6801270417422868,0.4971297359357061,0.006379244806611379
2024-12-05,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-05 12:15:29,2024-12-05 12:20:29,1,53698.0,53773.44921875,70.44921875,time_exit,300.0,0.6805086429564872,0.27800829875518673,0.003825694311517338
2024-12-05,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-05 14:35:44,2024-12-05 14:40:02,1,53911.8984375,53854.19921875,-62.69921875,stop_loss,258.0,0.6904247660187185,0.16659655027345394,0.0033524274854560376
2024-12-06,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-06 10:11:37,2024-12-06 10:13:07,1,53463.69921875,53460.3515625,-8.34765625,ofi_reversal,90.0,0.7720588235294118,0.15818976176737284,0.0038375095459681936
2024-12-06,BANKNIFTY,BANKNIFTY24DECFUT,2024-12-06 10:14:07,2024-12-06 10:14:55,1,53464.55078125,53412.30078125,-57.25,stop_loss,48.0,0.772975004698365,0.26649601820250285,0.004084655573991821
